,B,Epithelial,Macrophages,Mast,NK,Plasma,T,mDC,pDC
EXTL2,0.0,0.0,0.2107107107107107,0.16666666666666666,0.04838709677419355,0.0,0.013623978201634877,0.038834951456310676,0.0
QRSL1,0.1111111111111111,0.07692307692307693,0.15065065065065064,0.0,0.016129032258064516,0.0,0.0326975476839237,0.1650485436893204,0.0
FAM172A,0.1111111111111111,0.0,0.2012012012012012,0.0,0.11290322580645161,0.0,0.15258855585831063,0.10679611650485436,0.0
DNAJC25,0.0,0.07692307692307693,0.13463463463463463,0.0,0.016129032258064516,0.0,0.010899182561307902,0.06796116504854369,0.0
HCST,0.3333333333333333,0.3076923076923077,0.9254254254254254,0.8333333333333334,0.8225806451612904,1.0,0.8228882833787466,0.8640776699029126,0.8333333333333334
CLEC4E,0.0,0.07692307692307693,0.23673673673673673,0.0,0.016129032258064516,0.0,0.008174386920980926,0.0,0.0
PSTK,0.0,0.0,0.044044044044044044,0.0,0.0,0.5,0.010899182561307902,0.05825242718446602,0.0
PSMA4,0.1111111111111111,0.3076923076923077,0.8483483483483484,0.6666666666666666,0.27419354838709675,0.5,0.3460490463215259,0.5728155339805825,0.6666666666666666
RIC1,0.1111111111111111,0.15384615384615385,0.15365365365365366,0.0,0.0,0.0,0.04904632152588556,0.07766990291262135,0.16666666666666666
ZBTB9,0.0,0.0,0.011511511511511512,0.0,0.0,0.0,0.008174386920980926,0.009708737864077669,0.0
ATP5PD,0.2222222222222222,0.38461538461538464,0.8108108108108109,0.5,0.24193548387096775,0.5,0.26975476839237056,0.5728155339805825,0.5
TLE4,0.1111111111111111,0.15384615384615385,0.3608608608608609,0.3333333333333333,0.1774193548387097,0.0,0.19618528610354224,0.3883495145631068,0.0
TBC1D13,0.0,0.07692307692307693,0.07107107107107107,0.0,0.016129032258064516,0.0,0.02997275204359673,0.06796116504854369,0.3333333333333333
TIMM8B,0.1111111111111111,0.07692307692307693,0.7002002002002002,0.16666666666666666,0.1774193548387097,0.0,0.19346049046321526,0.4854368932038835,0.8333333333333334
THUMPD3,0.1111111111111111,0.15384615384615385,0.24924924924924924,0.0,0.03225806451612903,0.5,0.08991825613079019,0.1262135922330097,0.16666666666666666
DDX60L,0.1111111111111111,0.38461538461538464,0.6596596596596597,0.0,0.16129032258064516,0.0,0.14168937329700274,0.34951456310679613,0.16666666666666666
LY6G5C,0.0,0.0,0.05005005005005005,0.0,0.016129032258064516,0.0,0.010899182561307902,0.05825242718446602,0.0
HERC3,0.0,0.23076923076923078,0.3958958958958959,0.3333333333333333,0.04838709677419355,0.0,0.07356948228882834,0.24271844660194175,0.0
TSTA3,0.1111111111111111,0.15384615384615385,0.2702702702702703,0.0,0.08064516129032258,0.0,0.13896457765667575,0.23300970873786409,0.3333333333333333
TMEM38B,0.0,0.07692307692307693,0.5125125125125125,0.0,0.03225806451612903,0.5,0.07629427792915532,0.11650485436893204,0.0
LPGAT1,0.2222222222222222,0.07692307692307693,0.26326326326326327,0.16666666666666666,0.04838709677419355,0.0,0.09264305177111716,0.3786407766990291,0.16666666666666666
DDX10,0.0,0.07692307692307693,0.16716716716716717,0.16666666666666666,0.04838709677419355,0.0,0.04904632152588556,0.1650485436893204,0.0
RAD18,0.0,0.0,0.07057057057057058,0.16666666666666666,0.0,0.0,0.05722070844686648,0.05825242718446602,0.16666666666666666
TSTD3,0.0,0.0,0.011511511511511512,0.0,0.0,0.0,0.008174386920980926,0.009708737864077669,0.0
ARF3,0.1111111111111111,0.07692307692307693,0.6366366366366366,0.16666666666666666,0.04838709677419355,0.5,0.1226158038147139,0.5631067961165048,0.6666666666666666
OSCAR,0.0,0.07692307692307693,0.7512512512512513,0.0,0.0,0.0,0.06267029972752043,0.4077669902912621,0.0
TMEM168,0.0,0.23076923076923078,0.3063063063063063,0.3333333333333333,0.06451612903225806,0.0,0.10354223433242507,0.21359223300970873,0.16666666666666666
C11ORF68,0.1111111111111111,0.15384615384615385,0.3008008008008008,0.3333333333333333,0.0967741935483871,0.0,0.09264305177111716,0.18446601941747573,0.0
TRIM38,0.5555555555555556,0.3076923076923077,0.7367367367367368,0.0,0.1774193548387097,0.5,0.25340599455040874,0.6407766990291263,0.6666666666666666
KIAA1551,0.4444444444444444,0.38461538461538464,0.466966966966967,0.3333333333333333,0.3709677419354839,0.5,0.5231607629427792,0.5145631067961165,0.16666666666666666
RNF135,0.0,0.15384615384615385,0.3073073073073073,0.0,0.03225806451612903,0.0,0.02997275204359673,0.1262135922330097,0.16666666666666666
TMEM205,0.0,0.15384615384615385,0.5535535535535535,0.3333333333333333,0.0967741935483871,0.0,0.07901907356948229,0.13592233009708737,0.3333333333333333
MRPS9,0.0,0.07692307692307693,0.17967967967967968,0.16666666666666666,0.0,0.0,0.04904632152588556,0.10679611650485436,0.0
YIPF3,0.0,0.23076923076923078,0.456956956956957,0.3333333333333333,0.08064516129032258,0.0,0.14986376021798364,0.3592233009708738,0.3333333333333333
ZKSCAN1,0.2222222222222222,0.15384615384615385,0.3893893893893894,0.3333333333333333,0.08064516129032258,0.5,0.1335149863760218,0.33980582524271846,0.3333333333333333
CBX5,0.1111111111111111,0.07692307692307693,0.19269269269269268,0.3333333333333333,0.0967741935483871,0.0,0.1444141689373297,0.3106796116504854,0.16666666666666666
OSBPL7,0.0,0.0,0.008008008008008008,0.0,0.04838709677419355,0.0,0.027247956403269755,0.02912621359223301,0.16666666666666666
SNHG9,0.1111111111111111,0.0,0.13563563563563563,0.0,0.08064516129032258,1.0,0.11171662125340599,0.1553398058252427,0.5
MTMR14,0.3333333333333333,0.0,0.43493493493493496,0.16666666666666666,0.06451612903225806,0.5,0.07901907356948229,0.3300970873786408,0.6666666666666666
PHKG2,0.0,0.15384615384615385,0.19519519519519518,0.0,0.08064516129032258,0.0,0.07084468664850137,0.2912621359223301,0.0
HSD17B12,0.0,0.23076923076923078,0.495995995995996,0.6666666666666666,0.08064516129032258,0.5,0.0653950953678474,0.3883495145631068,0.6666666666666666
STK11IP,0.0,0.0,0.11961961961961962,0.0,0.016129032258064516,0.0,0.027247956403269755,0.05825242718446602,0.0
TAF5L,0.0,0.0,0.16616616616616617,0.0,0.03225806451612903,0.0,0.04632152588555858,0.13592233009708737,0.16666666666666666
PROSER1,0.0,0.0,0.13563563563563563,0.0,0.016129032258064516,0.0,0.03814713896457766,0.08737864077669903,0.0
RNASEH2B,0.2222222222222222,0.23076923076923078,0.5565565565565566,0.6666666666666666,0.2903225806451613,0.0,0.27520435967302453,0.42718446601941745,0.16666666666666666
COG7,0.0,0.07692307692307693,0.11461461461461461,0.0,0.016129032258064516,0.5,0.02997275204359673,0.02912621359223301,0.0
MIR762HG,0.0,0.0,0.036036036036036036,0.0,0.03225806451612903,0.0,0.01907356948228883,0.019417475728155338,0.16666666666666666
GLS,0.3333333333333333,0.15384615384615385,0.6086086086086087,0.5,0.25806451612903225,0.5,0.3079019073569482,0.5728155339805825,0.6666666666666666
THRA,0.0,0.15384615384615385,0.09509509509509509,0.0,0.016129032258064516,0.0,0.02452316076294278,0.02912621359223301,0.0
SIAE,0.0,0.07692307692307693,0.05405405405405406,0.0,0.0,0.0,0.005449591280653951,0.019417475728155338,0.0
GRHL1,0.0,0.07692307692307693,0.05555555555555555,0.0,0.0,0.0,0.0027247956403269754,0.009708737864077669,0.0
DYSF,0.0,0.0,0.0025025025025025025,0.0,0.0,0.0,0.0,0.0,0.0
MS4A14,0.1111111111111111,0.15384615384615385,0.1956956956956957,0.0,0.0,0.0,0.008174386920980926,0.0970873786407767,0.0
HOXB2,0.0,0.0,0.08558558558558559,0.16666666666666666,0.04838709677419355,0.0,0.11444141689373297,0.07766990291262135,0.0
MACROD1,0.0,0.0,0.0935935935935936,0.0,0.0,0.0,0.010899182561307902,0.019417475728155338,0.0
TRGC2,0.1111111111111111,0.07692307692307693,0.23773773773773774,0.0,0.5483870967741935,0.0,0.33242506811989103,0.019417475728155338,0.0
METTL23,0.2222222222222222,0.15384615384615385,0.3843843843843844,0.16666666666666666,0.12903225806451613,0.5,0.1307901907356948,0.1650485436893204,0.0
SERPINF1,0.0,0.0,0.07957957957957958,0.16666666666666666,0.0,0.5,0.01907356948228883,0.4077669902912621,0.8333333333333334
ARF4,0.0,0.38461538461538464,0.7382382382382382,0.0,0.11290322580645161,0.5,0.17166212534059946,0.42718446601941745,1.0
ATG16L1,0.1111111111111111,0.0,0.07907907907907907,0.0,0.04838709677419355,0.0,0.043596730245231606,0.019417475728155338,0.3333333333333333
BCAP29,0.1111111111111111,0.15384615384615385,0.5195195195195195,0.3333333333333333,0.0967741935483871,0.0,0.1362397820163488,0.30097087378640774,0.16666666666666666
NCR3LG1,0.0,0.0,0.010510510510510511,0.0,0.0,0.0,0.0,0.0,0.0
RTCB,0.1111111111111111,0.07692307692307693,0.47397397397397395,0.0,0.04838709677419355,0.5,0.09536784741144415,0.32038834951456313,0.16666666666666666
MTBP,0.1111111111111111,0.0,0.022022022022022022,0.0,0.0,0.0,0.010899182561307902,0.019417475728155338,0.0
JDP2,0.0,0.07692307692307693,0.22672672672672672,0.0,0.0,0.5,0.027247956403269755,0.27184466019417475,0.16666666666666666
AC092368.3,0.0,0.0,0.006006006006006006,0.0,0.0,0.0,0.0,0.0,0.0
AARS,0.1111111111111111,0.0,0.22872872872872874,0.0,0.0,0.0,0.051771117166212535,0.1941747572815534,0.0
AP3S2,0.0,0.07692307692307693,0.14914914914914915,0.0,0.016129032258064516,0.0,0.035422343324250684,0.11650485436893204,0.0
VCL,0.0,0.0,0.21271271271271272,0.16666666666666666,0.016129032258064516,0.0,0.043596730245231606,0.1941747572815534,0.0
FAM20B,0.0,0.07692307692307693,0.15665665665665665,0.3333333333333333,0.06451612903225806,0.0,0.04087193460490463,0.07766990291262135,0.0
COPS4,0.0,0.23076923076923078,0.3278278278278278,0.0,0.03225806451612903,0.0,0.09809264305177112,0.17475728155339806,0.0
EFHB,0.0,0.0,0.0035035035035035035,0.0,0.0,0.0,0.0,0.0,0.0
NMB,0.0,0.07692307692307693,0.3688688688688689,0.0,0.016129032258064516,0.0,0.02997275204359673,0.019417475728155338,0.16666666666666666
SRCAP,0.0,0.0,0.05205205205205205,0.0,0.016129032258064516,0.0,0.010899182561307902,0.02912621359223301,0.0
HDX,0.1111111111111111,0.0,0.03053053053053053,0.0,0.0,0.0,0.0027247956403269754,0.05825242718446602,0.0
SLC35A5,0.0,0.15384615384615385,0.2552552552552553,0.0,0.016129032258064516,0.0,0.043596730245231606,0.0970873786407767,0.16666666666666666
DEXI,0.0,0.0,0.04804804804804805,0.3333333333333333,0.03225806451612903,0.0,0.04632152588555858,0.02912621359223301,0.0
BORA,0.0,0.0,0.032532532532532535,0.0,0.016129032258064516,0.0,0.010899182561307902,0.038834951456310676,0.0
AC010226.1,0.1111111111111111,0.0,0.024024024024024024,0.0,0.0,0.0,0.0,0.019417475728155338,0.0
PPP1R35,0.0,0.15384615384615385,0.22072072072072071,0.3333333333333333,0.12903225806451613,0.0,0.20708446866485014,0.27184466019417475,0.16666666666666666
DDIT3,0.0,0.15384615384615385,0.3358358358358358,0.5,0.0967741935483871,0.0,0.11989100817438691,0.1650485436893204,0.0
UBR2,0.2222222222222222,0.23076923076923078,0.3328328328328328,0.3333333333333333,0.0967741935483871,0.0,0.1226158038147139,0.27184466019417475,0.0
VMAC,0.0,0.0,0.1001001001001001,0.0,0.03225806451612903,0.0,0.013623978201634877,0.05825242718446602,0.0
VPS26B,0.0,0.15384615384615385,0.2782782782782783,0.5,0.0967741935483871,0.0,0.07901907356948229,0.10679611650485436,0.16666666666666666
WASHC3,0.0,0.07692307692307693,0.4029029029029029,0.0,0.08064516129032258,0.0,0.10626702997275204,0.22330097087378642,0.0
HDDC3,0.0,0.0,0.26876876876876876,0.0,0.016129032258064516,0.0,0.08174386920980926,0.14563106796116504,0.0
ITGA4,0.2222222222222222,0.07692307692307693,0.06956956956956957,0.3333333333333333,0.14516129032258066,0.5,0.21798365122615804,0.4563106796116505,0.3333333333333333
EXOSC6,0.2222222222222222,0.07692307692307693,0.43593593593593594,0.0,0.1935483870967742,0.5,0.1907356948228883,0.32038834951456313,0.16666666666666666
RPS9,1.0,0.9230769230769231,0.9774774774774775,0.8333333333333334,0.967741935483871,0.5,0.9482288828337875,1.0,1.0
SNRPB,0.2222222222222222,0.38461538461538464,0.7762762762762763,0.0,0.3709677419354839,0.5,0.42779291553133514,0.7378640776699029,0.5
TNPO1,0.1111111111111111,0.23076923076923078,0.6616616616616616,0.3333333333333333,0.08064516129032258,0.0,0.1444141689373297,0.5242718446601942,0.5
SGSM2,0.1111111111111111,0.0,0.08508508508508508,0.0,0.06451612903225806,0.0,0.035422343324250684,0.07766990291262135,0.0
ZNF558,0.0,0.07692307692307693,0.05105105105105105,0.0,0.016129032258064516,0.0,0.013623978201634877,0.0,0.16666666666666666
IL4R,0.0,0.07692307692307693,0.26426426426426425,0.6666666666666666,0.06451612903225806,0.0,0.08174386920980926,0.1650485436893204,0.0
RHOG,0.2222222222222222,0.38461538461538464,0.8328328328328328,0.5,0.1935483870967742,0.5,0.3024523160762943,0.8155339805825242,0.3333333333333333
TGDS,0.0,0.07692307692307693,0.1831831831831832,0.0,0.06451612903225806,0.5,0.07084468664850137,0.11650485436893204,0.0
RELL1,0.0,0.0,0.033533533533533534,0.0,0.0,0.0,0.01907356948228883,0.05825242718446602,0.16666666666666666
LACTB,0.0,0.23076923076923078,0.7082082082082082,0.16666666666666666,0.08064516129032258,0.5,0.05449591280653951,0.47572815533980584,0.0
CD8A,0.0,0.0,0.009009009009009009,0.0,0.3870967741935484,0.0,0.47956403269754766,0.02912621359223301,0.0
ETF1,0.2222222222222222,0.15384615384615385,0.4904904904904905,0.0,0.04838709677419355,0.0,0.11989100817438691,0.27184466019417475,0.3333333333333333
CCDC189,0.0,0.0,0.015515515515515516,0.0,0.0,0.5,0.005449591280653951,0.0970873786407767,0.3333333333333333
TM9SF4,0.0,0.07692307692307693,0.24874874874874875,0.16666666666666666,0.08064516129032258,0.0,0.04632152588555858,0.0970873786407767,0.0
RGS14,0.1111111111111111,0.0,0.07757757757757758,0.0,0.16129032258064516,0.0,0.1444141689373297,0.1650485436893204,0.16666666666666666
ERLIN1,0.0,0.07692307692307693,0.2182182182182182,0.0,0.0,0.0,0.0326975476839237,0.06796116504854369,0.0
MGMT,0.2222222222222222,0.15384615384615385,0.6506506506506506,0.3333333333333333,0.1935483870967742,0.0,0.1771117166212534,0.33980582524271846,0.16666666666666666
OST4,0.7777777777777778,0.23076923076923078,0.9374374374374375,0.6666666666666666,0.6451612903225806,0.5,0.6539509536784741,0.8252427184466019,0.3333333333333333
CAND1,0.2222222222222222,0.3076923076923077,0.37987987987987987,0.16666666666666666,0.11290322580645161,0.0,0.17166212534059946,0.33980582524271846,0.5
WARS,0.0,0.3076923076923077,0.6651651651651652,0.16666666666666666,0.08064516129032258,0.5,0.0653950953678474,0.3883495145631068,0.16666666666666666
NDRG1,0.0,0.15384615384615385,0.07607607607607608,0.16666666666666666,0.06451612903225806,0.0,0.08174386920980926,0.22330097087378642,0.3333333333333333
GCHFR,0.1111111111111111,0.5384615384615384,0.9059059059059059,0.3333333333333333,0.1774193548387097,0.0,0.21798365122615804,0.18446601941747573,0.16666666666666666
DR1,0.1111111111111111,0.3076923076923077,0.507007007007007,0.3333333333333333,0.14516129032258066,0.5,0.1907356948228883,0.47572815533980584,0.3333333333333333
ZNF224,0.1111111111111111,0.23076923076923078,0.23473473473473475,0.0,0.08064516129032258,0.5,0.11444141689373297,0.21359223300970873,0.0
LUZP1,0.0,0.0,0.24174174174174173,0.0,0.03225806451612903,0.0,0.07629427792915532,0.13592233009708737,0.0
ADH5,0.1111111111111111,0.15384615384615385,0.5875875875875876,0.0,0.1935483870967742,0.0,0.1553133514986376,0.1941747572815534,0.16666666666666666
HARS,0.0,0.15384615384615385,0.2777777777777778,0.16666666666666666,0.04838709677419355,0.0,0.09264305177111716,0.18446601941747573,0.16666666666666666
TRIM34,0.0,0.0,0.0035035035035035035,0.0,0.0,0.0,0.005449591280653951,0.0,0.0
CHD3,0.0,0.0,0.057057057057057055,0.0,0.11290322580645161,0.0,0.11716621253405994,0.17475728155339806,0.16666666666666666
YKT6,0.0,0.07692307692307693,0.2002002002002002,0.0,0.0,0.0,0.03814713896457766,0.10679611650485436,0.0
PFKP,0.0,0.07692307692307693,0.22922922922922923,0.0,0.04838709677419355,0.5,0.0653950953678474,0.11650485436893204,0.0
SYPL1,0.4444444444444444,0.15384615384615385,0.6916916916916916,0.3333333333333333,0.22580645161290322,0.0,0.16621253405994552,0.47572815533980584,0.5
PTGR2,0.0,0.07692307692307693,0.13463463463463463,0.0,0.0,0.0,0.008174386920980926,0.019417475728155338,0.0
JAG2,0.0,0.0,0.0065065065065065065,0.0,0.08064516129032258,0.0,0.01907356948228883,0.009708737864077669,0.0
KIAA2026,0.1111111111111111,0.23076923076923078,0.3663663663663664,0.16666666666666666,0.16129032258064516,0.0,0.16893732970027248,0.3300970873786408,0.0
TYW3,0.0,0.23076923076923078,0.34184184184184185,0.5,0.08064516129032258,0.0,0.09809264305177112,0.22330097087378642,0.0
MAPRE3,0.0,0.0,0.06006006006006006,0.16666666666666666,0.0,0.0,0.0027247956403269754,0.04854368932038835,0.0
ITGB5,0.0,0.0,0.2602602602602603,0.0,0.0,0.0,0.008174386920980926,0.038834951456310676,0.0
SND1,0.0,0.23076923076923078,0.3893893893893894,0.3333333333333333,0.08064516129032258,0.0,0.10626702997275204,0.21359223300970873,0.3333333333333333
ADO,0.0,0.07692307692307693,0.28178178178178176,0.16666666666666666,0.04838709677419355,0.0,0.043596730245231606,0.1941747572815534,0.0
SNRPD3,0.2222222222222222,0.15384615384615385,0.7062062062062062,0.16666666666666666,0.3064516129032258,0.5,0.26975476839237056,0.5436893203883495,0.3333333333333333
ZKSCAN8,0.0,0.3076923076923077,0.14014014014014015,0.16666666666666666,0.0,0.0,0.04904632152588556,0.10679611650485436,0.0
TMEM167B,0.0,0.15384615384615385,0.3793793793793794,0.16666666666666666,0.08064516129032258,0.5,0.08991825613079019,0.2815533980582524,0.16666666666666666
MADCAM1,0.0,0.0,0.010510510510510511,0.0,0.0,0.0,0.0027247956403269754,0.0,0.0
CBX6,0.1111111111111111,0.0,0.16666666666666666,0.0,0.22580645161290322,0.5,0.1771117166212534,0.4563106796116505,0.5
PLK3,0.0,0.15384615384615385,0.17967967967967968,0.0,0.0,0.0,0.08174386920980926,0.1650485436893204,0.0
IKZF4,0.0,0.0,0.09309309309309309,0.0,0.016129032258064516,0.0,0.04087193460490463,0.08737864077669903,0.0
FANCD2,0.0,0.0,0.08608608608608609,0.0,0.016129032258064516,0.5,0.05722070844686648,0.07766990291262135,0.0
AP1S3,0.1111111111111111,0.0,0.02252252252252252,0.0,0.016129032258064516,0.5,0.01634877384196185,0.06796116504854369,0.0
PPHLN1,0.3333333333333333,0.23076923076923078,0.45645645645645644,0.3333333333333333,0.14516129032258066,0.0,0.2016348773841962,0.42718446601941745,0.5
SDHC,0.1111111111111111,0.07692307692307693,0.6686686686686687,0.3333333333333333,0.04838709677419355,0.5,0.19346049046321526,0.39805825242718446,0.16666666666666666
SKI,0.2222222222222222,0.07692307692307693,0.487987987987988,0.16666666666666666,0.0967741935483871,0.5,0.08719346049046321,0.20388349514563106,0.0
CARD6,0.0,0.07692307692307693,0.16666666666666666,0.16666666666666666,0.0,0.0,0.005449591280653951,0.11650485436893204,0.16666666666666666
ARPP19,0.1111111111111111,0.3076923076923077,0.6721721721721722,0.3333333333333333,0.16129032258064516,0.0,0.24795640326975477,0.5339805825242718,0.16666666666666666
NDUFAF7,0.1111111111111111,0.0,0.1086086086086086,0.0,0.04838709677419355,0.5,0.04087193460490463,0.07766990291262135,0.0
DRG1,0.1111111111111111,0.3076923076923077,0.25825825825825827,0.3333333333333333,0.016129032258064516,0.0,0.07629427792915532,0.20388349514563106,0.16666666666666666
GNAI3,0.3333333333333333,0.3076923076923077,0.6651651651651652,0.3333333333333333,0.22580645161290322,0.5,0.23978201634877383,0.5533980582524272,0.16666666666666666
PLP2,0.1111111111111111,0.23076923076923078,0.495995995995996,0.6666666666666666,0.3387096774193548,0.5,0.4332425068119891,0.6116504854368932,0.8333333333333334
SMPD3,0.0,0.0,0.006006006006006006,0.0,0.04838709677419355,0.0,0.01907356948228883,0.009708737864077669,0.8333333333333334
RNF121,0.0,0.0,0.12912912912912913,0.0,0.04838709677419355,0.0,0.02997275204359673,0.07766990291262135,0.0
PAPSS1,0.3333333333333333,0.15384615384615385,0.7167167167167167,0.0,0.06451612903225806,0.0,0.1008174386920981,0.34951456310679613,0.16666666666666666
TMEM19,0.3333333333333333,0.07692307692307693,0.4074074074074074,0.16666666666666666,0.0,0.0,0.07084468664850137,0.3592233009708738,0.0
ATP6V0C,0.0,0.0,0.03953953953953954,0.0,0.0,0.0,0.0,0.019417475728155338,0.0
TLR4,0.0,0.07692307692307693,0.5645645645645646,0.0,0.016129032258064516,0.0,0.02997275204359673,0.14563106796116504,0.0
NSUN2,0.0,0.15384615384615385,0.2082082082082082,0.0,0.03225806451612903,0.0,0.05722070844686648,0.14563106796116504,0.16666666666666666
BRCC3,0.1111111111111111,0.07692307692307693,0.18118118118118118,0.0,0.06451612903225806,0.0,0.05449591280653951,0.0970873786407767,0.3333333333333333
TNKS,0.0,0.07692307692307693,0.13813813813813813,0.16666666666666666,0.06451612903225806,0.0,0.04632152588555858,0.10679611650485436,0.0
SUMF2,0.0,0.3076923076923077,0.6766766766766766,0.0,0.24193548387096775,1.0,0.21525885558583105,0.34951456310679613,0.6666666666666666
FZD3,0.0,0.0,0.003003003003003003,0.0,0.0,0.0,0.008174386920980926,0.009708737864077669,0.16666666666666666
DPP3,0.0,0.0,0.16866866866866867,0.0,0.016129032258064516,0.0,0.04087193460490463,0.05825242718446602,0.0
SGMS1,0.0,0.15384615384615385,0.3658658658658659,0.3333333333333333,0.04838709677419355,0.0,0.0681198910081744,0.08737864077669903,0.16666666666666666
C4ORF47,0.0,0.0,0.0015015015015015015,0.0,0.0,0.0,0.0027247956403269754,0.0,0.0
NDUFB10,0.4444444444444444,0.38461538461538464,0.8148148148148148,0.6666666666666666,0.3387096774193548,0.5,0.3569482288828338,0.5339805825242718,0.3333333333333333
LMF2,0.1111111111111111,0.15384615384615385,0.33733733733733734,0.0,0.16129032258064516,0.5,0.18256130790190736,0.2621359223300971,0.16666666666666666
FARS2,0.0,0.07692307692307693,0.11961961961961962,0.0,0.03225806451612903,0.0,0.05722070844686648,0.11650485436893204,0.16666666666666666
TRPV2,0.2222222222222222,0.15384615384615385,0.7387387387387387,0.16666666666666666,0.08064516129032258,0.0,0.13896457765667575,0.27184466019417475,0.0
GPR183,0.4444444444444444,0.15384615384615385,0.05105105105105105,0.16666666666666666,0.1935483870967742,0.0,0.27520435967302453,0.3883495145631068,1.0
MYL12B,0.5555555555555556,0.46153846153846156,0.9584584584584585,0.8333333333333334,0.6935483870967742,0.0,0.8337874659400545,0.9611650485436893,0.6666666666666666
PAFAH1B1,0.4444444444444444,0.3076923076923077,0.4494494494494494,0.3333333333333333,0.1774193548387097,0.0,0.16893732970027248,0.36893203883495146,0.16666666666666666
ABI3,0.1111111111111111,0.07692307692307693,0.4864864864864865,0.0,0.25806451612903225,0.0,0.23705722070844687,0.32038834951456313,0.0
TMEM104,0.0,0.0,0.16466466466466467,0.0,0.0,0.0,0.021798365122615803,0.019417475728155338,0.0
XPR1,0.1111111111111111,0.07692307692307693,0.15065065065065064,0.0,0.06451612903225806,0.0,0.02997275204359673,0.02912621359223301,0.0
TBC1D15,0.1111111111111111,0.07692307692307693,0.46096096096096095,0.16666666666666666,0.08064516129032258,1.0,0.11716621253405994,0.5436893203883495,0.3333333333333333
DCDC2,0.0,0.0,0.0045045045045045045,0.0,0.0,0.0,0.0,0.009708737864077669,0.0
IKZF3,0.4444444444444444,0.07692307692307693,0.00850850850850851,0.3333333333333333,0.46774193548387094,0.0,0.4196185286103542,0.009708737864077669,0.0
ZBTB17,0.0,0.07692307692307693,0.11061061061061062,0.0,0.04838709677419355,0.0,0.035422343324250684,0.11650485436893204,0.0
BFAR,0.1111111111111111,0.3076923076923077,0.46646646646646645,0.3333333333333333,0.04838709677419355,0.5,0.12534059945504086,0.1941747572815534,0.5
SVIL,0.0,0.07692307692307693,0.7622622622622622,0.0,0.03225806451612903,0.0,0.06267029972752043,0.34951456310679613,0.0
MEFV,0.0,0.07692307692307693,0.07357357357357357,0.0,0.0,0.0,0.0,0.038834951456310676,0.0
UBLCP1,0.1111111111111111,0.3076923076923077,0.503003003003003,0.3333333333333333,0.14516129032258066,0.5,0.16621253405994552,0.27184466019417475,0.5
TRIP10,0.0,0.07692307692307693,0.06506506506506507,0.0,0.016129032258064516,0.0,0.005449591280653951,0.23300970873786409,0.0
EFEMP2,0.0,0.07692307692307693,0.009009009009009009,0.0,0.03225806451612903,0.0,0.0,0.009708737864077669,0.0
TXNDC9,0.3333333333333333,0.15384615384615385,0.4124124124124124,0.0,0.0967741935483871,0.0,0.13896457765667575,0.27184466019417475,0.0
METTL22,0.0,0.0,0.37787787787787785,0.0,0.03225806451612903,0.0,0.02997275204359673,0.1262135922330097,0.0
ZNF628,0.0,0.0,0.04954954954954955,0.0,0.0,0.0,0.02452316076294278,0.038834951456310676,0.0
HARS2,0.0,0.0,0.08708708708708708,0.16666666666666666,0.0,0.0,0.01907356948228883,0.07766990291262135,0.0
NANP,0.0,0.0,0.05155155155155155,0.0,0.0,0.0,0.01634877384196185,0.019417475728155338,0.0
CIP2A,0.0,0.0,0.04254254254254254,0.16666666666666666,0.03225806451612903,0.0,0.035422343324250684,0.02912621359223301,0.0
