,B,Epithelial,Macrophages,Mast,NK,Plasma,T,mDC,pDC
COX8A,0.2222222222222222,0.46153846153846156,0.9469469469469469,0.6666666666666666,0.4838709677419355,0.5,0.5040871934604905,0.8446601941747572,0.8333333333333334
MAP7D3,0.0,0.0,0.11761761761761762,0.3333333333333333,0.03225806451612903,0.0,0.08174386920980926,0.06796116504854369,0.16666666666666666
RAD21,0.3333333333333333,0.38461538461538464,0.5715715715715716,0.3333333333333333,0.25806451612903225,0.5,0.34332425068119893,0.5048543689320388,0.6666666666666666
XRRA1,0.1111111111111111,0.23076923076923078,0.2197197197197197,0.0,0.12903225806451613,0.5,0.10354223433242507,0.1650485436893204,0.0
GNGT2,0.0,0.0,0.2132132132132132,0.0,0.06451612903225806,0.0,0.04904632152588556,0.08737864077669903,0.0
AL162258.2,0.0,0.0,0.010510510510510511,0.0,0.0,0.0,0.008174386920980926,0.0,0.0
CASP7,0.0,0.07692307692307693,0.3588588588588589,0.0,0.016129032258064516,0.0,0.051771117166212535,0.04854368932038835,0.0
NUFIP1,0.0,0.15384615384615385,0.08658658658658659,0.0,0.0,0.0,0.02997275204359673,0.038834951456310676,0.0
LINC00957,0.0,0.0,0.010510510510510511,0.0,0.016129032258064516,0.0,0.005449591280653951,0.0,0.0
NSMAF,0.1111111111111111,0.15384615384615385,0.4219219219219219,0.0,0.03225806451612903,0.0,0.09264305177111716,0.2524271844660194,0.3333333333333333
YRDC,0.0,0.07692307692307693,0.11411411411411411,0.16666666666666666,0.03225806451612903,0.0,0.04087193460490463,0.05825242718446602,0.0
PRR13,0.1111111111111111,0.3076923076923077,0.9214214214214215,0.5,0.3870967741935484,0.5,0.40599455040871935,0.7572815533980582,0.16666666666666666
PGAM1,0.0,0.23076923076923078,0.7442442442442443,0.0,0.1774193548387097,0.5,0.2506811989100817,0.3786407766990291,0.16666666666666666
TAF5,0.0,0.0,0.036036036036036036,0.0,0.0,0.0,0.008174386920980926,0.02912621359223301,0.0
