,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC
COX8A,0.6428571428571429,0.9027027027027027,0.8681732580037664,0.625,0.4125,0.6,0.5,0.5015673981191222,0.7142857142857143
MAP7D3,0.21428571428571427,0.021621621621621623,0.027306967984934087,0.0,0.0375,0.02,0.0,0.04231974921630094,0.0
RAD21,0.32142857142857145,0.4756756756756757,0.2551789077212806,0.5,0.2875,0.1,0.25,0.3448275862068966,0.2857142857142857
XRRA1,0.0,0.0972972972972973,0.011299435028248588,0.125,0.0125,0.0,0.0,0.014106583072100314,0.07142857142857142
GNGT2,0.07142857142857142,0.005405405405405406,0.04896421845574388,0.0,0.025,0.0,0.0,0.017241379310344827,0.07142857142857142
AL162258.2,0.03571428571428571,0.11891891891891893,0.002824858757062147,0.0,0.025,0.0,0.25,0.02664576802507837,0.0
CASP7,0.07142857142857142,0.5675675675675675,0.2335216572504708,0.25,0.075,0.06,0.5,0.07836990595611286,0.21428571428571427
NUFIP1,0.0,0.0918918918918919,0.04143126177024482,0.0,0.025,0.02,0.25,0.018808777429467086,0.14285714285714285
LINC00957,0.07142857142857142,0.010810810810810811,0.006591337099811676,0.0,0.025,0.0,0.0,0.03918495297805643,0.07142857142857142
NSMAF,0.14285714285714285,0.1783783783783784,0.1864406779661017,0.125,0.0125,0.08,0.0,0.07836990595611286,0.14285714285714285
YRDC,0.0,0.1945945945945946,0.06497175141242938,0.0,0.0,0.04,0.0,0.03761755485893417,0.14285714285714285
PRR13,0.75,0.8756756756756757,0.7984934086629002,0.75,0.6125,0.5,0.0,0.6238244514106583,0.7142857142857143
PGAM1,0.6428571428571429,0.8432432432432433,0.5847457627118644,0.75,0.425,0.28,0.25,0.48589341692789967,0.5714285714285714
TAF5,0.03571428571428571,0.021621621621621623,0.022598870056497175,0.0,0.0,0.0,0.0,0.017241379310344827,0.0
EXTL2,0.0,0.043243243243243246,0.006591337099811676,0.0,0.0,0.0,0.0,0.004702194357366771,0.0
QRSL1,0.25,0.1945945945945946,0.030131826741996232,0.125,0.0375,0.0,0.0,0.0438871473354232,0.07142857142857142
FAM172A,0.10714285714285714,0.13513513513513514,0.03483992467043315,0.25,0.0625,0.04,0.0,0.05799373040752351,0.07142857142857142
DNAJC25,0.03571428571428571,0.2702702702702703,0.09322033898305085,0.125,0.05,0.06,0.0,0.045454545454545456,0.14285714285714285
HCST,0.5357142857142857,0.043243243243243246,0.7598870056497176,0.25,0.6125,0.24,0.25,0.5611285266457681,0.2857142857142857
CLEC4E,0.0,0.010810810810810811,0.2062146892655367,0.0,0.0,0.36,0.0,0.0109717868338558,0.07142857142857142
PSTK,0.03571428571428571,0.03783783783783784,0.010357815442561206,0.0,0.0,0.0,0.0,0.009404388714733543,0.0
PSMA4,0.35714285714285715,0.7837837837837838,0.67984934086629,0.375,0.1875,0.22,0.5,0.24921630094043887,0.7142857142857143
RIC1,0.21428571428571427,0.21081081081081082,0.11016949152542373,0.125,0.0625,0.0,0.0,0.07523510971786834,0.2857142857142857
ZBTB9,0.0,0.016216216216216217,0.0018832391713747645,0.0,0.0,0.0,0.0,0.007836990595611285,0.0
ATP5PD,0.5357142857142857,0.8486486486486486,0.6619585687382298,0.125,0.325,0.24,0.5,0.4278996865203762,0.5
TLE4,0.10714285714285714,0.4486486486486487,0.23069679849340866,0.375,0.2,0.16,0.25,0.19122257053291536,0.14285714285714285
TBC1D13,0.10714285714285714,0.10270270270270271,0.03295668549905838,0.25,0.05,0.02,0.0,0.032915360501567396,0.21428571428571427
TIMM8B,0.39285714285714285,0.6702702702702703,0.5263653483992468,0.25,0.1375,0.14,0.25,0.12852664576802508,0.2857142857142857
THUMPD3,0.10714285714285714,0.3621621621621622,0.1271186440677966,0.125,0.05,0.04,0.0,0.06583072100313479,0.07142857142857142
DDX60L,0.2857142857142857,0.6972972972972973,0.559322033898305,0.75,0.25,0.52,0.0,0.4263322884012539,0.35714285714285715
LY6G5C,0.0,0.04864864864864865,0.010357815442561206,0.0,0.025,0.0,0.0,0.023510971786833857,0.0
HERC3,0.03571428571428571,0.0918918918918919,0.017890772128060263,0.125,0.0875,0.0,0.0,0.032915360501567396,0.07142857142857142
TSTA3,0.10714285714285714,0.5405405405405406,0.10546139359698682,0.0,0.15,0.0,0.0,0.12225705329153605,0.07142857142857142
TMEM38B,0.17857142857142858,0.1837837837837838,0.2504708097928437,0.375,0.025,0.1,0.0,0.025078369905956112,0.2857142857142857
LPGAT1,0.17857142857142858,0.31351351351351353,0.08380414312617702,0.0,0.2,0.04,0.25,0.08620689655172414,0.14285714285714285
DDX10,0.07142857142857142,0.14594594594594595,0.035781544256120526,0.0,0.0375,0.0,0.0,0.04231974921630094,0.0
RAD18,0.0,0.06486486486486487,0.011299435028248588,0.0,0.0125,0.0,0.0,0.014106583072100314,0.0
TSTD3,0.0,0.016216216216216217,0.00847457627118644,0.0,0.0375,0.0,0.0,0.0109717868338558,0.0
ARF3,0.25,0.6324324324324324,0.3088512241054614,0.125,0.075,0.08,0.0,0.10501567398119123,0.21428571428571427
OSCAR,0.0,0.021621621621621623,0.4839924670433145,0.0,0.0,0.1,0.0,0.001567398119122257,0.14285714285714285
TMEM168,0.07142857142857142,0.05945945945945946,0.017890772128060263,0.125,0.0375,0.02,0.0,0.017241379310344827,0.07142857142857142
C11ORF68,0.07142857142857142,0.20540540540540542,0.10828625235404897,0.125,0.0625,0.02,0.0,0.032915360501567396,0.07142857142857142
TRIM38,0.4642857142857143,0.6216216216216216,0.4209039548022599,0.375,0.225,0.42,0.25,0.26489028213166144,0.2857142857142857
KIAA1551,0.5357142857142857,0.4810810810810811,0.3926553672316384,0.25,0.425,0.36,0.0,0.45768025078369906,0.35714285714285715
RNF135,0.17857142857142858,0.2756756756756757,0.371939736346516,0.0,0.0,0.24,0.0,0.047021943573667714,0.14285714285714285
TMEM205,0.21428571428571427,0.3783783783783784,0.16854990583804144,0.25,0.075,0.04,0.25,0.06739811912225706,0.07142857142857142
MRPS9,0.03571428571428571,0.1945945945945946,0.04048964218455744,0.0,0.0375,0.0,0.0,0.03761755485893417,0.07142857142857142
YIPF3,0.32142857142857145,0.7243243243243244,0.2928436911487759,0.25,0.225,0.2,0.0,0.20376175548589343,0.21428571428571427
ZKSCAN1,0.17857142857142858,0.42702702702702705,0.05649717514124294,0.25,0.075,0.02,0.0,0.10501567398119123,0.21428571428571427
CBX5,0.17857142857142858,0.25405405405405407,0.031073446327683617,0.125,0.05,0.02,0.25,0.06269592476489028,0.21428571428571427
OSBPL7,0.0,0.13513513513513514,0.002824858757062147,0.0,0.05,0.0,0.0,0.09090909090909091,0.07142857142857142
SNHG9,0.07142857142857142,0.1783783783783784,0.08286252354048965,0.0,0.075,0.02,0.0,0.10658307210031348,0.0
MTMR14,0.25,0.2756756756756757,0.1977401129943503,0.25,0.0625,0.08,0.25,0.12695924764890282,0.42857142857142855
PHKG2,0.03571428571428571,0.3567567567567568,0.08286252354048965,0.0,0.1875,0.04,0.0,0.08150470219435736,0.2857142857142857
HSD17B12,0.10714285714285714,0.41621621621621624,0.11958568738229755,0.125,0.05,0.02,0.0,0.05956112852664577,0.21428571428571427
STK11IP,0.0,0.13513513513513514,0.02824858757062147,0.0,0.0125,0.02,0.0,0.01567398119122257,0.0
TAF5L,0.0,0.06486486486486487,0.026365348399246705,0.0,0.025,0.0,0.0,0.014106583072100314,0.0
PROSER1,0.21428571428571427,0.21081081081081082,0.07721280602636535,0.375,0.075,0.02,0.0,0.05329153605015674,0.0
RNASEH2B,0.5,0.2648648648648649,0.19303201506591336,0.25,0.075,0.18,0.0,0.18495297805642633,0.35714285714285715
COG7,0.03571428571428571,0.3675675675675676,0.04331450094161959,0.0,0.0375,0.02,0.0,0.04231974921630094,0.0
MIR762HG,0.03571428571428571,0.043243243243243246,0.00847457627118644,0.0,0.0375,0.0,0.0,0.02037617554858934,0.07142857142857142
GLS,0.17857142857142858,0.23783783783783785,0.14689265536723164,0.25,0.0625,0.04,0.0,0.11912225705329153,0.5
THRA,0.0,0.14594594594594595,0.025423728813559324,0.0,0.025,0.02,0.0,0.03605015673981191,0.0
SIAE,0.0,0.0918918918918919,0.00847457627118644,0.125,0.0,0.04,0.0,0.006269592476489028,0.0
GRHL1,0.0,0.4702702702702703,0.009416195856873822,0.0,0.0125,0.0,0.0,0.0,0.07142857142857142
DYSF,0.0,0.0,0.2231638418079096,0.0,0.0,0.12,0.0,0.003134796238244514,0.0
MS4A14,0.0,0.005405405405405406,0.096045197740113,0.0,0.0,0.02,0.0,0.0,0.07142857142857142
HOXB2,0.03571428571428571,0.0918918918918919,0.1431261770244821,0.5,0.15,0.04,0.0,0.21003134796238246,0.21428571428571427
MACROD1,0.0,0.17297297297297298,0.0009416195856873823,0.0,0.025,0.0,0.0,0.0219435736677116,0.0
TRGC2,0.0,0.0,0.026365348399246705,0.0,0.125,0.0,0.0,0.04231974921630094,0.07142857142857142
METTL23,0.32142857142857145,0.3027027027027027,0.14500941619585686,0.0,0.275,0.1,0.5,0.24921630094043887,0.2857142857142857
SERPINF1,0.07142857142857142,0.5297297297297298,0.026365348399246705,0.0,0.0,0.0,0.0,0.003134796238244514,0.21428571428571427
ARF4,0.32142857142857145,0.8864864864864865,0.5894538606403014,0.125,0.3625,0.3,0.5,0.31347962382445144,0.2857142857142857
ATG16L1,0.07142857142857142,0.20540540540540542,0.030131826741996232,0.125,0.075,0.0,0.0,0.048589341692789965,0.0
BCAP29,0.10714285714285714,0.40540540540540543,0.2024482109227872,0.125,0.1125,0.02,0.0,0.09404388714733543,0.07142857142857142
NCR3LG1,0.0,0.016216216216216217,0.011299435028248588,0.0,0.0125,0.0,0.0,0.0,0.07142857142857142
RTCB,0.5,0.4864864864864865,0.559322033898305,0.125,0.125,0.08,0.25,0.14890282131661442,0.42857142857142855
MTBP,0.0,0.0,0.0009416195856873823,0.0,0.0,0.04,0.0,0.006269592476489028,0.07142857142857142
JDP2,0.07142857142857142,0.3081081081081081,0.1534839924670433,0.0,0.0,0.0,0.0,0.001567398119122257,0.07142857142857142
AC092368.3,0.0,0.05405405405405406,0.01224105461393597,0.0,0.0,0.02,0.0,0.004702194357366771,0.0
AARS,0.21428571428571427,0.42702702702702705,0.1497175141242938,0.125,0.0625,0.04,0.0,0.09404388714733543,0.35714285714285715
AP3S2,0.03571428571428571,0.23783783783783785,0.0687382297551789,0.125,0.0,0.02,0.0,0.05172413793103448,0.0
VCL,0.10714285714285714,0.5459459459459459,0.03672316384180791,0.0,0.0625,0.02,0.0,0.029780564263322883,0.0
FAM20B,0.0,0.13513513513513514,0.01694915254237288,0.0,0.0125,0.02,0.0,0.0219435736677116,0.0
COPS4,0.07142857142857142,0.24864864864864866,0.0847457627118644,0.125,0.05,0.0,0.0,0.07993730407523511,0.07142857142857142
EFHB,0.0,0.10810810810810811,0.0009416195856873823,0.0,0.0,0.0,0.0,0.001567398119122257,0.0
NMB,0.03571428571428571,0.16756756756756758,0.02448210922787194,0.0,0.0125,0.0,0.0,0.012539184952978056,0.07142857142857142
SRCAP,0.03571428571428571,0.05945945945945946,0.023540489642184557,0.0,0.0,0.0,0.0,0.01567398119122257,0.0
HDX,0.03571428571428571,0.0972972972972973,0.03483992467043315,0.25,0.0125,0.0,0.0,0.018808777429467086,0.0
SLC35A5,0.07142857142857142,0.2,0.07909604519774012,0.0,0.0375,0.0,0.0,0.03761755485893417,0.07142857142857142
DEXI,0.10714285714285714,0.2,0.03766478342749529,0.125,0.0125,0.0,0.0,0.045454545454545456,0.07142857142857142
BORA,0.07142857142857142,0.05945945945945946,0.02448210922787194,0.0,0.0375,0.0,0.0,0.023510971786833857,0.0
AC010226.1,0.0,0.010810810810810811,0.00847457627118644,0.0,0.0,0.0,0.0,0.001567398119122257,0.0
PPP1R35,0.07142857142857142,0.2918918918918919,0.054613935969868174,0.0,0.05,0.06,0.0,0.06426332288401254,0.0
DDIT3,0.4642857142857143,0.6648648648648648,0.5555555555555556,0.625,0.2625,0.32,0.0,0.1865203761755486,0.21428571428571427
UBR2,0.14285714285714285,0.31351351351351353,0.12335216572504708,0.0,0.1875,0.02,0.0,0.18808777429467086,0.14285714285714285
VMAC,0.03571428571428571,0.08108108108108109,0.014124293785310734,0.0,0.0375,0.0,0.0,0.02821316614420063,0.07142857142857142
VPS26B,0.0,0.23243243243243245,0.0743879472693032,0.25,0.2375,0.04,0.0,0.15987460815047022,0.07142857142857142
WASHC3,0.39285714285714285,0.4486486486486487,0.2137476459510358,0.0,0.15,0.16,0.25,0.21473354231974923,0.07142857142857142
HDDC3,0.17857142857142858,0.1783783783783784,0.07627118644067797,0.125,0.0625,0.0,0.0,0.09404388714733543,0.0
ITGA4,0.32142857142857145,0.016216216216216217,0.06120527306967985,0.375,0.225,0.04,0.0,0.390282131661442,0.21428571428571427
EXOSC6,0.03571428571428571,0.23243243243243245,0.0847457627118644,0.0,0.075,0.0,0.0,0.09717868338557993,0.14285714285714285
RPS9,1.0,0.9459459459459459,0.9171374764595104,1.0,0.9375,0.62,0.75,0.9106583072100314,0.9285714285714286
SNRPB,0.6428571428571429,0.7513513513513513,0.5338983050847458,0.5,0.4,0.26,0.25,0.4090909090909091,0.42857142857142855
TNPO1,0.10714285714285714,0.5135135135135135,0.19962335216572505,0.25,0.125,0.04,0.25,0.09404388714733543,0.14285714285714285
SGSM2,0.03571428571428571,0.35135135135135137,0.02824858757062147,0.0,0.05,0.0,0.0,0.054858934169279,0.0
ZNF558,0.0,0.10270270270270271,0.013182674199623353,0.125,0.0,0.0,0.0,0.004702194357366771,0.0
IL4R,0.07142857142857142,0.5027027027027027,0.2288135593220339,0.375,0.125,0.14,0.0,0.1974921630094044,0.14285714285714285
RHOG,0.4642857142857143,0.5405405405405406,0.7448210922787194,0.5,0.3375,0.52,0.5,0.4498432601880878,0.6428571428571429
TGDS,0.03571428571428571,0.2,0.06308851224105462,0.0,0.05,0.0,0.0,0.045454545454545456,0.14285714285714285
RELL1,0.0,0.11351351351351352,0.02824858757062147,0.0,0.025,0.0,0.0,0.05642633228840126,0.0
LACTB,0.35714285714285715,0.22162162162162163,0.4096045197740113,0.25,0.05,0.18,0.25,0.07523510971786834,0.42857142857142855
CD8A,0.0,0.032432432432432434,0.004708097928436911,0.0,0.1,0.0,0.0,0.32445141065830724,0.07142857142857142
ETF1,0.25,0.4972972972972973,0.3305084745762712,0.0,0.05,0.14,0.0,0.109717868338558,0.2857142857142857
CCDC189,0.0,0.14594594594594595,0.003766478342749529,0.0,0.0,0.0,0.0,0.003134796238244514,0.0
TM9SF4,0.07142857142857142,0.4,0.04990583804143126,0.0,0.025,0.0,0.25,0.08307210031347963,0.21428571428571427
RGS14,0.10714285714285714,0.12972972972972974,0.02919020715630885,0.0,0.1125,0.04,0.0,0.18808777429467086,0.0
ERLIN1,0.03571428571428571,0.21081081081081082,0.04331450094161959,0.125,0.025,0.02,0.0,0.032915360501567396,0.07142857142857142
MGMT,0.25,0.4702702702702703,0.1440677966101695,0.0,0.0875,0.02,0.0,0.11912225705329153,0.07142857142857142
OST4,0.7857142857142857,0.9459459459459459,0.8163841807909604,0.625,0.7875,0.44,0.75,0.8025078369905956,0.8571428571428571
CAND1,0.10714285714285714,0.42162162162162165,0.09698681732580038,0.0,0.0875,0.02,0.0,0.13166144200626959,0.07142857142857142
WARS,0.2857142857142857,0.7189189189189189,0.60075329566855,0.625,0.2125,0.16,0.25,0.25235109717868337,0.6428571428571429
NDRG1,0.0,0.43783783783783786,0.17984934086629,0.0,0.125,0.14,0.0,0.1536050156739812,0.14285714285714285
GCHFR,0.10714285714285714,0.2810810810810811,0.1487758945386064,0.125,0.2625,0.04,0.25,0.2884012539184953,0.14285714285714285
DR1,0.2857142857142857,0.4594594594594595,0.18832391713747645,0.125,0.2,0.06,0.0,0.21003134796238246,0.14285714285714285
ZNF224,0.07142857142857142,0.10270270270270271,0.0423728813559322,0.125,0.1,0.02,0.0,0.07366771159874608,0.14285714285714285
LUZP1,0.03571428571428571,0.22702702702702704,0.05367231638418079,0.0,0.0375,0.0,0.0,0.10188087774294671,0.0
ADH5,0.10714285714285714,0.41621621621621624,0.20433145009416195,0.25,0.1375,0.0,0.25,0.20219435736677116,0.21428571428571427
HARS,0.2857142857142857,0.2918918918918919,0.0800376647834275,0.125,0.1375,0.04,0.0,0.11285266457680251,0.14285714285714285
TRIM34,0.0,0.032432432432432434,0.017890772128060263,0.125,0.0,0.0,0.0,0.0109717868338558,0.07142857142857142
CHD3,0.03571428571428571,0.41081081081081083,0.05649717514124294,0.25,0.075,0.02,0.0,0.11598746081504702,0.14285714285714285
YKT6,0.14285714285714285,0.3891891891891892,0.2928436911487759,0.125,0.05,0.1,0.0,0.07210031347962383,0.14285714285714285
PFKP,0.07142857142857142,0.572972972972973,0.2457627118644068,0.5,0.15,0.04,0.25,0.21786833855799373,0.14285714285714285
SYPL1,0.32142857142857145,0.6810810810810811,0.2749529190207156,0.25,0.05,0.08,0.0,0.09561128526645768,0.2857142857142857
PTGR2,0.0,0.08648648648648649,0.014124293785310734,0.0,0.0,0.02,0.0,0.006269592476489028,0.0
JAG2,0.0,0.04864864864864865,0.0009416195856873823,0.0,0.0,0.0,0.0,0.001567398119122257,0.0
KIAA2026,0.14285714285714285,0.2810810810810811,0.06308851224105462,0.0,0.075,0.0,0.0,0.07993730407523511,0.07142857142857142
TYW3,0.07142857142857142,0.22162162162162163,0.0856873822975518,0.125,0.025,0.0,0.0,0.09404388714733543,0.07142857142857142
MAPRE3,0.0,0.23783783783783785,0.013182674199623353,0.25,0.0,0.0,0.0,0.003134796238244514,0.0
ITGB5,0.0,0.2810810810810811,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.0
SND1,0.39285714285714285,0.43783783783783786,0.2928436911487759,0.25,0.2375,0.04,0.0,0.2084639498432602,0.14285714285714285
ADO,0.0,0.08108108108108109,0.07062146892655367,0.0,0.0125,0.02,0.0,0.0219435736677116,0.0
SNRPD3,0.42857142857142855,0.7189189189189189,0.5131826741996234,0.25,0.275,0.18,0.0,0.28213166144200624,0.42857142857142855
ZKSCAN8,0.07142857142857142,0.04864864864864865,0.02824858757062147,0.0,0.025,0.0,0.0,0.02037617554858934,0.07142857142857142
TMEM167B,0.14285714285714285,0.32432432432432434,0.1902071563088512,0.0,0.0875,0.06,0.0,0.06896551724137931,0.21428571428571427
MADCAM1,0.0,0.0,0.003766478342749529,0.0,0.0,0.0,0.0,0.007836990595611285,0.0
CBX6,0.14285714285714285,0.4648648648648649,0.1327683615819209,0.125,0.0375,0.16,0.25,0.054858934169279,0.14285714285714285
PLK3,0.10714285714285714,0.43783783783783786,0.2542372881355932,0.25,0.025,0.08,0.0,0.11285266457680251,0.14285714285714285
IKZF4,0.03571428571428571,0.05405405405405406,0.013182674199623353,0.0,0.0,0.0,0.0,0.03918495297805643,0.07142857142857142
FANCD2,0.0,0.02702702702702703,0.004708097928436911,0.0,0.0125,0.0,0.0,0.025078369905956112,0.0
AP1S3,0.21428571428571427,0.2918918918918919,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.0
PPHLN1,0.17857142857142858,0.2594594594594595,0.10263653483992467,0.25,0.175,0.02,0.0,0.1974921630094044,0.14285714285714285
SDHC,0.35714285714285715,0.6378378378378379,0.3568738229755179,0.25,0.175,0.12,0.0,0.23197492163009403,0.35714285714285715
SKI,0.17857142857142858,0.14594594594594595,0.10546139359698682,0.25,0.175,0.1,0.0,0.12225705329153605,0.07142857142857142
CARD6,0.0,0.11351351351351352,0.096045197740113,0.0,0.0,0.04,0.0,0.014106583072100314,0.0
ARPP19,0.42857142857142855,0.6594594594594595,0.300376647834275,0.375,0.1875,0.14,0.0,0.18025078369905956,0.42857142857142855
NDUFAF7,0.03571428571428571,0.07027027027027027,0.026365348399246705,0.125,0.0625,0.02,0.5,0.050156739811912224,0.07142857142857142
DRG1,0.2857142857142857,0.4486486486486487,0.18832391713747645,0.125,0.0875,0.04,0.0,0.1238244514106583,0.14285714285714285
GNAI3,0.2857142857142857,0.572972972972973,0.4331450094161959,0.25,0.2125,0.14,0.0,0.1974921630094044,0.35714285714285715
PLP2,0.5357142857142857,0.6810810810810811,0.4463276836158192,0.75,0.525,0.2,0.5,0.6300940438871473,0.42857142857142855
SMPD3,0.0,0.07567567567567568,0.0009416195856873823,0.0,0.0,0.0,0.0,0.009404388714733543,0.0
