,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC
RNF121,0.07142857142857142,0.1837837837837838,0.05273069679849341,0.0,0.0625,0.0,0.0,0.054858934169279,0.0
PAPSS1,0.25,0.5675675675675675,0.3013182674199623,0.0,0.05,0.08,0.0,0.08150470219435736,0.21428571428571427
TMEM19,0.21428571428571427,0.0972972972972973,0.03389830508474576,0.0,0.0125,0.0,0.0,0.03918495297805643,0.0
ATP6V0C,0.7142857142857143,0.8702702702702703,0.9369114877589454,0.875,0.5125,0.78,0.75,0.5376175548589341,0.5714285714285714
TLR4,0.0,0.06486486486486487,0.3662900188323917,0.0,0.0,0.22,0.25,0.007836990595611285,0.0
NSUN2,0.10714285714285714,0.2648648648648649,0.08380414312617702,0.125,0.0875,0.0,0.0,0.07366771159874608,0.07142857142857142
BRCC3,0.03571428571428571,0.34594594594594597,0.03672316384180791,0.125,0.075,0.0,0.0,0.06896551724137931,0.14285714285714285
TNKS,0.07142857142857142,0.1945945945945946,0.02919020715630885,0.0,0.05,0.02,0.0,0.06896551724137931,0.0
SUMF2,0.17857142857142858,0.3783783783783784,0.1440677966101695,0.25,0.1,0.0,0.0,0.1536050156739812,0.2857142857142857
FZD3,0.03571428571428571,0.1891891891891892,0.0009416195856873823,0.125,0.0,0.0,0.0,0.001567398119122257,0.0
DPP3,0.07142857142857142,0.34054054054054056,0.07156308851224105,0.0,0.025,0.0,0.0,0.032915360501567396,0.0
SGMS1,0.07142857142857142,0.23243243243243245,0.1694915254237288,0.125,0.0375,0.02,0.0,0.04075235109717868,0.21428571428571427
C4ORF47,0.03571428571428571,0.15675675675675677,0.004708097928436911,0.125,0.0,0.0,0.0,0.006269592476489028,0.0
NDUFB10,0.4642857142857143,0.7189189189189189,0.4067796610169492,0.5,0.35,0.1,0.25,0.36990595611285265,0.21428571428571427
LMF2,0.07142857142857142,0.32432432432432434,0.21563088512241055,0.125,0.1625,0.04,0.0,0.18495297805642633,0.14285714285714285
FARS2,0.10714285714285714,0.1783783783783784,0.038606403013182675,0.0,0.0375,0.02,0.0,0.05956112852664577,0.14285714285714285
TRPV2,0.10714285714285714,0.005405405405405406,0.2514124293785311,0.0,0.125,0.02,0.0,0.14576802507836992,0.07142857142857142
GPR183,0.5,0.016216216216216217,0.2382297551789077,0.0,0.2375,0.04,0.25,0.30250783699059564,0.5
MYL12B,0.75,0.9945945945945946,0.9453860640301318,0.875,0.8,0.68,0.75,0.9059561128526645,0.6428571428571429
PAFAH1B1,0.25,0.7081081081081081,0.4077212806026365,0.375,0.2125,0.16,0.0,0.2554858934169279,0.2857142857142857
ABI3,0.17857142857142858,0.005405405405405406,0.10357815442561205,0.0,0.175,0.02,0.0,0.13949843260188088,0.21428571428571427
TMEM104,0.0,0.10810810810810811,0.01977401129943503,0.0,0.0,0.0,0.0,0.02821316614420063,0.0
XPR1,0.03571428571428571,0.2864864864864865,0.03766478342749529,0.0,0.025,0.0,0.0,0.03918495297805643,0.07142857142857142
TBC1D15,0.0,0.31891891891891894,0.10922787193973635,0.125,0.1,0.1,0.0,0.11755485893416928,0.0
DCDC2,0.0,0.07567567567567568,0.0009416195856873823,0.0,0.0,0.0,0.0,0.0,0.0
IKZF3,0.42857142857142855,0.016216216216216217,0.006591337099811676,0.125,0.3,0.0,0.0,0.25705329153605017,0.0
ZBTB17,0.03571428571428571,0.22162162162162163,0.09792843691148775,0.0,0.1125,0.04,0.0,0.061128526645768025,0.07142857142857142
BFAR,0.21428571428571427,0.3567567567567568,0.16760828625235405,0.25,0.1625,0.0,0.0,0.2084639498432602,0.42857142857142855
SVIL,0.0,0.44324324324324327,0.044256120527306965,0.125,0.0375,0.06,0.0,0.02037617554858934,0.07142857142857142
MEFV,0.03571428571428571,0.005405405405405406,0.08851224105461393,0.0,0.0,0.1,0.0,0.001567398119122257,0.07142857142857142
UBLCP1,0.07142857142857142,0.41621621621621624,0.1337099811676083,0.0,0.1375,0.06,0.0,0.13009404388714735,0.14285714285714285
TRIP10,0.07142857142857142,0.518918918918919,0.07156308851224105,0.0,0.0375,0.02,0.0,0.001567398119122257,0.07142857142857142
EFEMP2,0.0,0.0972972972972973,0.004708097928436911,0.0,0.0,0.0,0.0,0.001567398119122257,0.0
TXNDC9,0.07142857142857142,0.3945945945945946,0.2382297551789077,0.125,0.125,0.04,0.0,0.164576802507837,0.2857142857142857
METTL22,0.0,0.11351351351351352,0.06591337099811675,0.0,0.0125,0.02,0.0,0.03134796238244514,0.07142857142857142
ZNF628,0.0,0.11891891891891893,0.01694915254237288,0.0,0.0125,0.02,0.0,0.0109717868338558,0.0
HARS2,0.10714285714285714,0.2,0.047080979284369114,0.125,0.05,0.0,0.0,0.06896551724137931,0.07142857142857142
NANP,0.03571428571428571,0.02702702702702703,0.02824858757062147,0.0,0.0,0.02,0.0,0.003134796238244514,0.0
CIP2A,0.0,0.010810810810810811,0.007532956685499058,0.0,0.025,0.0,0.0,0.006269592476489028,0.0
CAMK1D,0.21428571428571427,0.3621621621621622,0.031073446327683617,0.0,0.05,0.02,0.0,0.10658307210031348,0.0
DYNLL2,0.10714285714285714,0.43243243243243246,0.09792843691148775,0.125,0.075,0.02,0.0,0.06583072100313479,0.21428571428571427
SEC11C,0.2857142857142857,0.7027027027027027,0.4284369114877589,0.125,0.325,0.08,0.0,0.3714733542319749,0.21428571428571427
KIF22,0.0,0.16756756756756758,0.038606403013182675,0.25,0.1,0.02,0.0,0.09717868338557993,0.0
GALNT7,0.10714285714285714,0.2918918918918919,0.054613935969868174,0.0,0.0375,0.0,0.0,0.0438871473354232,0.07142857142857142
EFNB1,0.0,0.24324324324324326,0.011299435028248588,0.0,0.0125,0.0,0.0,0.0109717868338558,0.0
THBD,0.03571428571428571,0.12972972972972974,0.4642184557438795,0.0,0.0,0.26,0.0,0.003134796238244514,0.2857142857142857
ANKRD29,0.0,0.021621621621621623,0.07062146892655367,0.0,0.0,0.0,0.0,0.0,0.0
FADS2,0.0,0.0,0.003766478342749529,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
DDX39A,0.4642857142857143,0.40540540540540543,0.3634651600753296,0.375,0.1625,0.08,0.25,0.28996865203761757,0.2857142857142857
MED13,0.17857142857142858,0.4864864864864865,0.18832391713747645,0.125,0.0875,0.08,0.0,0.10188087774294671,0.21428571428571427
RABGGTB,0.39285714285714285,0.6108108108108108,0.17325800376647835,0.125,0.175,0.08,0.0,0.21003134796238246,0.42857142857142855
Z93930.2,0.0,0.043243243243243246,0.0743879472693032,0.125,0.075,0.0,0.0,0.03918495297805643,0.0
LIPT1,0.0,0.05405405405405406,0.02071563088512241,0.0,0.0,0.0,0.0,0.014106583072100314,0.0
ACCS,0.07142857142857142,0.11351351351351352,0.04048964218455744,0.125,0.05,0.0,0.0,0.03918495297805643,0.0
OTULINL,0.0,0.02702702702702703,0.08945386064030132,0.25,0.2,0.02,0.0,0.10815047021943573,0.07142857142857142
CYTH3,0.0,0.11351351351351352,0.018832391713747645,0.125,0.025,0.0,0.25,0.0219435736677116,0.0
RIPK1,0.03571428571428571,0.20540540540540542,0.10357815442561205,0.125,0.1125,0.08,0.25,0.11755485893416928,0.07142857142857142
CTDSP2,0.21428571428571427,0.5675675675675675,0.11864406779661017,0.0,0.05,0.06,0.0,0.0987460815047022,0.42857142857142855
