,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC,pDC
COX8A,0.5,0.6052631578947368,0.8017241379310345,0.5,0.6206896551724138,0.0,1.0,0.6232876712328768,0.5263157894736842,0.6666666666666666
MAP7D3,0.125,0.0,0.0603448275862069,0.0,0.06896551724137931,0.0,1.0,0.11643835616438356,0.0,0.0
RAD21,0.125,0.18421052631578946,0.4827586206896552,0.5,0.4482758620689655,0.0,1.0,0.4452054794520548,0.05263157894736842,0.6666666666666666
XRRA1,0.0,0.10526315789473684,0.14655172413793102,0.0,0.06896551724137931,1.0,1.0,0.13013698630136986,0.0,0.0
GNGT2,0.25,0.0,0.3706896551724138,0.0,0.06896551724137931,0.0,0.0,0.08904109589041095,0.15789473684210525,0.0
AL162258.2,0.0,0.13157894736842105,0.008620689655172414,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.0
CASP7,0.125,0.18421052631578946,0.3448275862068966,0.0,0.13793103448275862,0.0,0.0,0.2328767123287671,0.0,0.0
NUFIP1,0.0,0.05263157894736842,0.10344827586206896,0.0,0.0,0.0,0.0,0.0410958904109589,0.0,0.0
LINC00957,0.0,0.0,0.008620689655172414,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.0
NSMAF,0.5,0.0,0.3620689655172414,0.0,0.13793103448275862,0.0,1.0,0.11643835616438356,0.05263157894736842,0.3333333333333333
YRDC,0.125,0.0,0.09482758620689655,0.0,0.10344827586206896,0.0,0.0,0.0273972602739726,0.0,0.3333333333333333
PRR13,0.875,0.3684210526315789,0.853448275862069,0.5,0.8620689655172413,0.0,1.0,0.726027397260274,0.5789473684210527,1.0
PGAM1,0.625,0.2894736842105263,0.5775862068965517,1.0,0.5517241379310345,0.0,1.0,0.6095890410958904,0.2631578947368421,1.0
TAF5,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,1.0,0.02054794520547945,0.05263157894736842,0.0
EXTL2,0.0,0.10526315789473684,0.05172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QRSL1,0.5,0.02631578947368421,0.10344827586206896,0.0,0.034482758620689655,0.0,0.0,0.06164383561643835,0.0,0.0
FAM172A,0.125,0.13157894736842105,0.07758620689655173,0.0,0.06896551724137931,0.0,0.0,0.11643835616438356,0.05263157894736842,0.0
DNAJC25,0.0,0.05263157894736842,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HCST,0.25,0.0,0.7586206896551724,0.0,0.9655172413793104,1.0,1.0,0.8561643835616438,0.21052631578947367,0.6666666666666666
CLEC4E,0.0,0.0,0.19827586206896552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSTK,0.0,0.02631578947368421,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMA4,0.125,0.21052631578947367,0.7413793103448276,0.0,0.3793103448275862,0.0,1.0,0.3219178082191781,0.15789473684210525,0.3333333333333333
RIC1,0.0,0.0,0.21551724137931033,0.0,0.034482758620689655,0.0,1.0,0.1095890410958904,0.0,0.3333333333333333
ZBTB9,0.0,0.02631578947368421,0.017241379310344827,0.0,0.034482758620689655,0.0,0.0,0.0273972602739726,0.0,0.0
ATP5PD,0.75,0.5263157894736842,0.7672413793103449,0.5,0.5517241379310345,0.0,1.0,0.5,0.42105263157894735,0.6666666666666666
TLE4,0.0,0.02631578947368421,0.25862068965517243,0.0,0.034482758620689655,0.0,0.0,0.14383561643835616,0.05263157894736842,0.3333333333333333
TBC1D13,0.0,0.02631578947368421,0.09482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0684931506849315,0.0,0.6666666666666666
TIMM8B,0.25,0.34210526315789475,0.5775862068965517,0.5,0.27586206896551724,0.0,1.0,0.18493150684931506,0.21052631578947367,0.3333333333333333
THUMPD3,0.0,0.18421052631578946,0.16379310344827586,0.0,0.034482758620689655,0.0,0.0,0.10273972602739725,0.05263157894736842,0.0
DDX60L,0.25,0.10526315789473684,0.6896551724137931,0.5,0.27586206896551724,0.0,0.0,0.3013698630136986,0.05263157894736842,0.0
LY6G5C,0.0,0.05263157894736842,0.008620689655172414,0.0,0.0,0.0,0.0,0.0273972602739726,0.0,0.0
HERC3,0.0,0.02631578947368421,0.11206896551724138,0.5,0.034482758620689655,0.0,0.0,0.0684931506849315,0.05263157894736842,0.0
TSTA3,0.125,0.2631578947368421,0.13793103448275862,0.0,0.27586206896551724,0.0,0.0,0.11643835616438356,0.0,0.0
TMEM38B,0.0,0.02631578947368421,0.19827586206896552,0.0,0.034482758620689655,0.0,0.0,0.0136986301369863,0.0,0.3333333333333333
LPGAT1,0.25,0.15789473684210525,0.1724137931034483,0.0,0.06896551724137931,0.0,0.0,0.17123287671232876,0.0,0.0
DDX10,0.0,0.07894736842105263,0.20689655172413793,0.0,0.034482758620689655,0.0,0.0,0.03424657534246575,0.0,0.3333333333333333
RAD18,0.0,0.0,0.04310344827586207,0.0,0.0,0.0,0.0,0.02054794520547945,0.0,0.0
TSTD3,0.0,0.05263157894736842,0.017241379310344827,0.0,0.034482758620689655,0.0,1.0,0.0136986301369863,0.0,0.0
ARF3,0.375,0.2894736842105263,0.5775862068965517,0.0,0.1724137931034483,0.0,1.0,0.1917808219178082,0.10526315789473684,0.6666666666666666
OSCAR,0.0,0.0,0.5172413793103449,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0
TMEM168,0.125,0.07894736842105263,0.11206896551724138,0.0,0.3103448275862069,0.0,0.0,0.06164383561643835,0.05263157894736842,0.3333333333333333
C11ORF68,0.0,0.05263157894736842,0.20689655172413793,0.0,0.06896551724137931,0.0,1.0,0.04794520547945205,0.0,0.0
TRIM38,0.375,0.13157894736842105,0.6120689655172413,0.0,0.3448275862068966,1.0,1.0,0.2876712328767123,0.05263157894736842,0.3333333333333333
KIAA1551,0.25,0.05263157894736842,0.21551724137931033,0.0,0.6551724137931034,0.0,1.0,0.726027397260274,0.0,0.3333333333333333
RNF135,0.0,0.15789473684210525,0.3879310344827586,0.0,0.0,0.0,1.0,0.0136986301369863,0.0,0.0
TMEM205,0.0,0.3684210526315789,0.4051724137931034,0.0,0.1724137931034483,0.0,0.0,0.0547945205479452,0.0,0.0
MRPS9,0.0,0.10526315789473684,0.11206896551724138,0.5,0.06896551724137931,0.0,1.0,0.0958904109589041,0.0,0.0
YIPF3,0.125,0.18421052631578946,0.3620689655172414,0.5,0.3103448275862069,0.0,1.0,0.19863013698630136,0.10526315789473684,0.0
ZKSCAN1,0.25,0.21052631578947367,0.25862068965517243,0.0,0.1724137931034483,0.0,0.0,0.11643835616438356,0.05263157894736842,0.6666666666666666
CBX5,0.125,0.18421052631578946,0.06896551724137931,0.0,0.06896551724137931,0.0,1.0,0.2054794520547945,0.05263157894736842,0.0
OSBPL7,0.0,0.07894736842105263,0.034482758620689655,0.0,0.10344827586206896,0.0,0.0,0.02054794520547945,0.0,0.0
SNHG9,0.0,0.10526315789473684,0.1810344827586207,0.0,0.27586206896551724,0.0,1.0,0.15753424657534246,0.10526315789473684,0.3333333333333333
MTMR14,0.375,0.02631578947368421,0.46551724137931033,0.0,0.27586206896551724,0.0,1.0,0.14383561643835616,0.10526315789473684,0.6666666666666666
PHKG2,0.0,0.18421052631578946,0.1810344827586207,0.0,0.06896551724137931,0.0,1.0,0.0684931506849315,0.10526315789473684,0.0
HSD17B12,0.125,0.18421052631578946,0.3620689655172414,0.0,0.10344827586206896,0.0,1.0,0.11643835616438356,0.05263157894736842,0.0
STK11IP,0.0,0.07894736842105263,0.12931034482758622,0.0,0.034482758620689655,0.0,0.0,0.0136986301369863,0.0,0.3333333333333333
TAF5L,0.0,0.07894736842105263,0.08620689655172414,0.0,0.0,0.0,0.0,0.0547945205479452,0.0,0.0
