,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC,pDC
COX8A,0.5,0.9758713136729222,0.8923643054277829,0.8333333333333334,0.5714285714285714,0.41935483870967744,0.8461538461538461,0.7935483870967742,1.0,1.0
MAP7D3,0.0,0.0938337801608579,0.05427782888684453,0.16666666666666666,0.0,0.0,0.15384615384615385,0.08387096774193549,0.12,0.0
RAD21,0.5,0.4906166219839142,0.33486660533578655,0.6666666666666666,0.3333333333333333,0.12903225806451613,0.6153846153846154,0.535483870967742,0.44,1.0
XRRA1,0.0,0.1769436997319035,0.046918123275068994,0.3333333333333333,0.0,0.0,0.07692307692307693,0.04516129032258064,0.04,0.0
GNGT2,0.0,0.00804289544235925,0.08647654093836246,0.0,0.0,0.0,0.0,0.08387096774193549,0.2,0.0
AL162258.2,0.0,0.1260053619302949,0.03035878564857406,0.0,0.0,0.0,0.0,0.03870967741935484,0.04,0.0
CASP7,0.25,0.5576407506702413,0.2750689972401104,0.0,0.14285714285714285,0.0967741935483871,0.15384615384615385,0.21935483870967742,0.28,0.0
NUFIP1,0.0,0.11796246648793565,0.04231830726770929,0.0,0.047619047619047616,0.0,0.15384615384615385,0.05161290322580645,0.0,0.0
LINC00957,0.0,0.00804289544235925,0.0027598896044158236,0.0,0.0,0.03225806451612903,0.15384615384615385,0.012903225806451613,0.0,0.0
NSMAF,0.5,0.2546916890080429,0.30082796688132474,0.3333333333333333,0.0,0.16129032258064516,0.15384615384615385,0.14193548387096774,0.28,0.0
YRDC,0.25,0.29222520107238603,0.11499540018399264,0.0,0.047619047619047616,0.0,0.07692307692307693,0.08387096774193549,0.16,0.0
PRR13,1.0,0.9115281501340483,0.8463661453541859,0.8333333333333334,0.6190476190476191,0.3870967741935484,0.6153846153846154,0.7290322580645161,0.76,1.0
PGAM1,0.5,0.8284182305630027,0.7212511499540019,0.8333333333333334,0.5714285714285714,0.1935483870967742,0.8461538461538461,0.6709677419354839,0.64,0.0
TAF5,0.0,0.04289544235924933,0.029438822447102116,0.0,0.0,0.0,0.0,0.04516129032258064,0.04,0.0
EXTL2,0.0,0.13136729222520108,0.014719411223551058,0.0,0.0,0.0,0.0,0.025806451612903226,0.0,0.0
QRSL1,0.5,0.2225201072386059,0.06807727690892364,0.0,0.0,0.0,0.0,0.1032258064516129,0.16,0.0
FAM172A,0.0,0.23056300268096513,0.0671573137074517,0.16666666666666666,0.047619047619047616,0.03225806451612903,0.0,0.07741935483870968,0.08,0.0
DNAJC25,0.0,0.289544235924933,0.07911683532658693,0.0,0.0,0.0,0.15384615384615385,0.025806451612903226,0.04,0.0
HCST,0.5,0.045576407506702415,0.764489420423183,0.16666666666666666,0.6190476190476191,0.3225806451612903,0.38461538461538464,0.7225806451612903,0.52,1.0
CLEC4E,0.0,0.005361930294906166,0.22999080036798528,0.0,0.0,0.41935483870967744,0.0,0.012903225806451613,0.0,0.0
PSTK,0.0,0.064343163538874,0.017479300827966882,0.0,0.0,0.0,0.07692307692307693,0.01935483870967742,0.0,0.0
PSMA4,0.75,0.7587131367292225,0.6954921803127875,0.5,0.23809523809523808,0.3225806451612903,0.46153846153846156,0.4129032258064516,0.52,1.0
RIC1,0.0,0.21715817694369974,0.19963201471941122,0.16666666666666666,0.047619047619047616,0.03225806451612903,0.5384615384615384,0.12258064516129032,0.2,0.0
ZBTB9,0.0,0.02680965147453083,0.004599816007359705,0.0,0.047619047619047616,0.0,0.0,0.01935483870967742,0.0,0.0
ATP5PD,0.5,0.9061662198391421,0.7286108555657773,0.8333333333333334,0.23809523809523808,0.1935483870967742,0.7692307692307693,0.6129032258064516,0.68,0.0
TLE4,0.25,0.5281501340482574,0.3532658693652254,0.8333333333333334,0.2857142857142857,0.16129032258064516,0.3076923076923077,0.21935483870967742,0.2,0.0
TBC1D13,0.25,0.13941018766756033,0.05795768169273229,0.0,0.0,0.0,0.07692307692307693,0.05806451612903226,0.16,0.0
TIMM8B,0.25,0.8310991957104558,0.5850965961361545,0.0,0.09523809523809523,0.16129032258064516,0.5384615384615384,0.34838709677419355,0.4,1.0
THUMPD3,0.0,0.3109919571045576,0.11315547378104876,0.16666666666666666,0.0,0.03225806451612903,0.23076923076923078,0.07096774193548387,0.08,0.0
DDX60L,0.5,0.46380697050938335,0.7856485740570377,0.3333333333333333,0.2857142857142857,0.6451612903225806,0.0,0.45806451612903226,0.52,0.0
LY6G5C,0.0,0.128686327077748,0.027598896044158234,0.0,0.0,0.03225806451612903,0.07692307692307693,0.01935483870967742,0.0,0.0
HERC3,0.25,0.10723860589812333,0.07083716651333946,0.16666666666666666,0.047619047619047616,0.0,0.07692307692307693,0.07741935483870968,0.04,0.0
TSTA3,0.25,0.7158176943699732,0.17111315547378106,0.5,0.047619047619047616,0.03225806451612903,0.3076923076923077,0.2967741935483871,0.2,0.0
TMEM38B,0.0,0.1876675603217158,0.22907083716651333,0.0,0.0,0.0,0.07692307692307693,0.08387096774193549,0.12,0.0
LPGAT1,0.5,0.3726541554959786,0.20791168353265868,0.16666666666666666,0.0,0.03225806451612903,0.15384615384615385,0.16129032258064516,0.28,1.0
DDX10,0.25,0.1447721179624665,0.06899724011039558,0.0,0.0,0.0,0.07692307692307693,0.09032258064516129,0.04,0.0
RAD18,0.0,0.06702412868632708,0.028518859245630176,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0
TSTD3,0.25,0.058981233243967826,0.015639374425023,0.0,0.0,0.0,0.0,0.012903225806451613,0.0,0.0
ARF3,0.0,0.6997319034852547,0.47930082796688134,0.16666666666666666,0.14285714285714285,0.16129032258064516,0.3076923076923077,0.27741935483870966,0.64,0.0
