,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC,pDC
COX8A,0.5,0.8043478260869565,0.766507274392105,0.875,0.47191011235955055,0.5509708737864077,0.7407407407407407,0.6557610241820768,0.7329192546583851,0.6428571428571429
MAP7D3,0.058823529411764705,0.09239130434782608,0.03255671991046902,0.0,0.056179775280898875,0.01699029126213592,0.07407407407407407,0.07823613086770982,0.055900621118012424,0.14285714285714285
RAD21,0.23529411764705882,0.29347826086956524,0.23634143860006104,0.125,0.20786516853932585,0.11650485436893204,0.2962962962962963,0.34708392603129445,0.2484472049689441,0.19047619047619047
XRRA1,0.058823529411764705,0.16304347826086957,0.026147115678095433,0.0,0.016853932584269662,0.012135922330097087,0.1111111111111111,0.041251778093883355,0.012422360248447204,0.023809523809523808
GNGT2,0.058823529411764705,0.002717391304347826,0.05036117611150676,0.125,0.033707865168539325,0.021844660194174758,0.0,0.04551920341394026,0.06832298136645963,0.0
AL162258.2,0.029411764705882353,0.08152173913043478,0.004781768236850137,0.0,0.0,0.0,0.0,0.00995732574679943,0.0,0.023809523809523808
CASP7,0.11764705882352941,0.28532608695652173,0.14233390985858174,0.0,0.07303370786516854,0.0825242718446602,0.0,0.10526315789473684,0.14906832298136646,0.07142857142857142
NUFIP1,0.058823529411764705,0.08152173913043478,0.030013226167463627,0.0,0.016853932584269662,0.012135922330097087,0.037037037037037035,0.02275960170697013,0.012422360248447204,0.0
LINC00957,0.0,0.0,0.0018313154949638824,0.0,0.0056179775280898875,0.0,0.0,0.012802275960170697,0.006211180124223602,0.0
NSMAF,0.029411764705882353,0.125,0.15525485807304915,0.125,0.033707865168539325,0.11650485436893204,0.14814814814814814,0.09388335704125178,0.20496894409937888,0.023809523809523808
YRDC,0.029411764705882353,0.059782608695652176,0.044968969376335335,0.0,0.02247191011235955,0.021844660194174758,0.07407407407407407,0.051209103840682786,0.024844720496894408,0.07142857142857142
PRR13,0.6764705882352942,0.6331521739130435,0.6918302980974667,0.625,0.4438202247191011,0.49514563106796117,0.48148148148148145,0.5305832147937412,0.8012422360248447,0.6428571428571429
PGAM1,0.17647058823529413,0.4266304347826087,0.3631091667514498,0.375,0.21348314606741572,0.18689320388349515,0.2962962962962963,0.3869132290184922,0.33540372670807456,0.21428571428571427
TAF5,0.0,0.021739130434782608,0.02055142944348357,0.0,0.0,0.009708737864077669,0.0,0.02844950213371266,0.006211180124223602,0.0
EXTL2,0.0,0.09782608695652174,0.003866110489368196,0.0,0.0,0.0,0.037037037037037035,0.005689900426742532,0.0,0.0
