,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC,pDC
COX8A,0.7083333333333334,0.8723404255319149,0.9364077669902913,0.0,0.6546762589928058,0.0,0.5,0.6984126984126984,0.8181818181818182,0.9166666666666666
MAP7D3,0.16666666666666666,0.07446808510638298,0.19611650485436893,0.0,0.05755395683453238,0.0,0.0,0.08432539682539683,0.10909090909090909,0.125
RAD21,0.375,0.5,0.6742718446601942,0.5,0.38848920863309355,0.0,0.5,0.47023809523809523,0.43636363636363634,0.375
XRRA1,0.041666666666666664,0.26595744680851063,0.07135922330097087,0.0,0.03597122302158273,0.0,0.0,0.03968253968253968,0.03636363636363636,0.08333333333333333
GNGT2,0.041666666666666664,0.02127659574468085,0.5053398058252427,0.0,0.07194244604316546,0.0,0.0,0.05257936507936508,0.18181818181818182,0.0
AL162258.2,0.041666666666666664,0.18085106382978725,0.06019417475728155,0.0,0.02158273381294964,0.0,0.5,0.011904761904761904,0.05454545454545454,0.0
CASP7,0.25,0.4574468085106383,0.4286407766990291,0.0,0.14388489208633093,0.0,0.0,0.20833333333333334,0.41818181818181815,0.20833333333333334
NUFIP1,0.20833333333333334,0.11702127659574468,0.21650485436893205,0.0,0.06474820143884892,0.0,0.0,0.044642857142857144,0.09090909090909091,0.08333333333333333
LINC00957,0.0,0.031914893617021274,0.04174757281553398,0.0,0.007194244604316547,0.0,0.0,0.04662698412698413,0.01818181818181818,0.041666666666666664
NSMAF,0.08333333333333333,0.1276595744680851,0.5718446601941748,0.0,0.09352517985611511,0.0,0.0,0.12301587301587301,0.43636363636363634,0.20833333333333334
YRDC,0.08333333333333333,0.11702127659574468,0.13106796116504854,0.0,0.02877697841726619,0.0,0.0,0.031746031746031744,0.05454545454545454,0.125
PRR13,0.875,0.851063829787234,0.9553398058252427,0.5,0.6474820143884892,1.0,0.5,0.7132936507936508,0.8545454545454545,0.9583333333333334
PGAM1,0.5833333333333334,0.6063829787234043,0.8597087378640776,0.5,0.5107913669064749,0.0,1.0,0.6309523809523809,0.6727272727272727,0.625
TAF5,0.0,0.0425531914893617,0.06893203883495146,0.0,0.02877697841726619,0.0,0.0,0.041666666666666664,0.05454545454545454,0.08333333333333333
EXTL2,0.0,0.2872340425531915,0.1650485436893204,0.0,0.04316546762589928,0.0,0.0,0.017857142857142856,0.0,0.0
QRSL1,0.5,0.22340425531914893,0.23883495145631067,0.5,0.07194244604316546,0.0,0.5,0.06646825396825397,0.23636363636363636,0.20833333333333334
FAM172A,0.25,0.24468085106382978,0.1941747572815534,0.0,0.14388489208633093,0.0,0.0,0.13194444444444445,0.07272727272727272,0.20833333333333334
DNAJC25,0.0,0.14893617021276595,0.15728155339805824,0.0,0.014388489208633094,0.0,0.0,0.010912698412698412,0.05454545454545454,0.125
HCST,0.4583333333333333,0.05319148936170213,0.9048543689320389,0.5,0.9064748201438849,0.0,1.0,0.9226190476190477,0.6545454545454545,0.5833333333333334
CLEC4E,0.0,0.02127659574468085,0.4577669902912621,0.0,0.007194244604316547,0.0,0.0,0.000992063492063492,0.09090909090909091,0.0
PSTK,0.08333333333333333,0.05319148936170213,0.09271844660194174,0.0,0.02158273381294964,0.0,0.0,0.017857142857142856,0.03636363636363636,0.041666666666666664
PSMA4,0.625,0.7127659574468085,0.8927184466019418,0.5,0.30935251798561153,1.0,0.5,0.41865079365079366,0.6909090909090909,0.7916666666666666
RIC1,0.125,0.07446808510638298,0.37281553398058254,0.0,0.07194244604316546,0.0,0.0,0.11210317460317461,0.2727272727272727,0.20833333333333334
ZBTB9,0.08333333333333333,0.031914893617021274,0.04320388349514563,0.0,0.007194244604316547,0.0,0.0,0.023809523809523808,0.01818181818181818,0.0
ATP5PD,0.6666666666666666,0.776595744680851,0.916504854368932,0.5,0.43884892086330934,0.0,0.5,0.5198412698412699,0.7272727272727273,0.7916666666666666
TLE4,0.20833333333333334,0.3191489361702128,0.37233009708737863,0.0,0.2014388489208633,0.0,0.0,0.1865079365079365,0.16363636363636364,0.08333333333333333
TBC1D13,0.0,0.11702127659574468,0.14611650485436894,0.5,0.03597122302158273,0.0,0.0,0.05357142857142857,0.05454545454545454,0.041666666666666664
TIMM8B,0.4166666666666667,0.6170212765957447,0.8131067961165048,0.0,0.302158273381295,0.0,1.0,0.2787698412698413,0.6,0.5416666666666666
THUMPD3,0.08333333333333333,0.2978723404255319,0.3470873786407767,0.0,0.06474820143884892,0.0,0.5,0.0882936507936508,0.21818181818181817,0.08333333333333333
DDX60L,0.5416666666666666,0.2872340425531915,0.8393203883495146,0.5,0.37410071942446044,1.0,0.0,0.48214285714285715,0.43636363636363634,0.2916666666666667
LY6G5C,0.0,0.2765957446808511,0.03155339805825243,0.0,0.02877697841726619,0.0,0.0,0.022817460317460316,0.01818181818181818,0.041666666666666664
HERC3,0.0,0.1595744680851064,0.2145631067961165,0.0,0.050359712230215826,0.0,0.0,0.08035714285714286,0.10909090909090909,0.0
TSTA3,0.4166666666666667,0.30851063829787234,0.35,0.0,0.18705035971223022,0.0,0.5,0.20634920634920634,0.3090909090909091,0.20833333333333334
TMEM38B,0.125,0.09574468085106383,0.5,0.0,0.05755395683453238,0.0,0.0,0.041666666666666664,0.10909090909090909,0.20833333333333334
LPGAT1,0.2916666666666667,0.5106382978723404,0.2752427184466019,0.5,0.2014388489208633,0.0,0.0,0.16468253968253968,0.2727272727272727,0.2916666666666667
DDX10,0.16666666666666666,0.1276595744680851,0.2771844660194175,0.0,0.07194244604316546,0.0,0.0,0.07936507936507936,0.2,0.08333333333333333
RAD18,0.041666666666666664,0.0851063829787234,0.11553398058252427,0.0,0.02158273381294964,0.0,0.0,0.04563492063492063,0.10909090909090909,0.125
TSTD3,0.041666666666666664,0.06382978723404255,0.032524271844660196,0.0,0.007194244604316547,0.0,0.0,0.023809523809523808,0.01818181818181818,0.0
ARF3,0.16666666666666666,0.5425531914893617,0.7218446601941747,0.0,0.10071942446043165,0.0,0.0,0.1746031746031746,0.5272727272727272,0.4583333333333333
OSCAR,0.0,0.031914893617021274,0.8004854368932038,0.0,0.007194244604316547,0.0,0.0,0.006944444444444444,0.16363636363636364,0.0
TMEM168,0.041666666666666664,0.10638297872340426,0.20097087378640777,0.0,0.1510791366906475,0.0,0.0,0.10416666666666667,0.05454545454545454,0.25
C11ORF68,0.041666666666666664,0.11702127659574468,0.2058252427184466,0.0,0.06474820143884892,0.0,0.0,0.06448412698412699,0.12727272727272726,0.16666666666666666
TRIM38,0.625,0.2978723404255319,0.8504854368932039,0.5,0.4316546762589928,1.0,0.5,0.5109126984126984,0.5636363636363636,0.7083333333333334
KIAA1551,0.9583333333333334,0.35106382978723405,0.5990291262135923,0.5,0.6258992805755396,1.0,0.5,0.7728174603174603,0.34545454545454546,0.625
RNF135,0.08333333333333333,0.2978723404255319,0.6043689320388349,0.0,0.07913669064748201,0.0,0.0,0.05853174603174603,0.21818181818181817,0.125
TMEM205,0.2916666666666667,0.574468085106383,0.683495145631068,0.0,0.1510791366906475,0.0,0.0,0.10515873015873016,0.2,0.2916666666666667
MRPS9,0.041666666666666664,0.2872340425531915,0.2145631067961165,0.0,0.08633093525179857,0.0,0.5,0.10317460317460317,0.18181818181818182,0.16666666666666666
YIPF3,0.3333333333333333,0.6702127659574468,0.6169902912621359,0.0,0.23741007194244604,1.0,0.5,0.30158730158730157,0.2909090909090909,0.3333333333333333
ZKSCAN1,0.25,0.6595744680851063,0.3966019417475728,0.5,0.14388489208633093,0.0,0.0,0.17261904761904762,0.21818181818181817,0.4166666666666667
