,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC,pDC
COX8A,0.7714285714285715,0.9036144578313253,0.9632521819016996,1.0,0.7538461538461538,0.5,0.6363636363636364,0.7247706422018348,0.788235294117647,0.8787878787878788
MAP7D3,0.37142857142857144,0.08433734939759036,0.18511713367018834,0.5,0.13846153846153847,0.0,0.0,0.09276248725790011,0.023529411764705882,0.12121212121212122
RAD21,0.37142857142857144,0.5542168674698795,0.6692696371152963,0.0,0.5615384615384615,0.0,0.45454545454545453,0.5249745158002038,0.5294117647058824,0.5454545454545454
XRRA1,0.05714285714285714,0.39759036144578314,0.17179604960955444,0.0,0.06153846153846154,0.0,0.09090909090909091,0.09785932721712538,0.09411764705882353,0.18181818181818182
GNGT2,0.17142857142857143,0.0,0.5342214056040423,0.0,0.038461538461538464,0.0,0.18181818181818182,0.07951070336391437,0.11764705882352941,0.0
AL162258.2,0.02857142857142857,0.3132530120481928,0.06706476802939826,0.0,0.03076923076923077,0.0,0.09090909090909091,0.0254841997961264,0.0,0.0
CASP7,0.14285714285714285,0.46987951807228917,0.3844740468534681,0.0,0.13076923076923078,0.0,0.09090909090909091,0.199796126401631,0.5764705882352941,0.06060606060606061
NUFIP1,0.11428571428571428,0.1927710843373494,0.2315112540192926,0.0,0.1,0.0,0.09090909090909091,0.05198776758409786,0.047058823529411764,0.12121212121212122
LINC00957,0.0,0.024096385542168676,0.03904455672944419,0.0,0.03076923076923077,0.0,0.09090909090909091,0.045871559633027525,0.08235294117647059,0.030303030303030304
NSMAF,0.2,0.18072289156626506,0.5548920532843362,0.0,0.1,0.0,0.0,0.1162079510703364,0.4470588235294118,0.18181818181818182
YRDC,0.05714285714285714,0.07228915662650602,0.12861736334405144,0.0,0.05384615384615385,0.0,0.0,0.047910295616717634,0.10588235294117647,0.09090909090909091
PRR13,0.8857142857142857,0.7951807228915663,0.977491961414791,1.0,0.7923076923076923,0.5,0.8181818181818182,0.7859327217125383,0.8705882352941177,0.9696969696969697
PGAM1,0.7428571428571429,0.6987951807228916,0.8915939366100137,0.0,0.5461538461538461,0.5,0.5454545454545454,0.6829765545361876,0.7176470588235294,0.6666666666666666
TAF5,0.02857142857142857,0.04819277108433735,0.08635737253100598,0.0,0.06153846153846154,0.0,0.0,0.04892966360856269,0.03529411764705882,0.18181818181818182
