,B,Epithelial,Macrophages,Mast,NK,Neutrophil,Plasma,T,mDC,pDC
COX8A,1.0,0.7155963302752294,0.7951176983435048,0.75,0.5,0.6666666666666666,0.7678132678132679,0.8384030418250951,0.8333333333333334,0.0
MAP7D3,0.16666666666666666,0.027522935779816515,0.03225806451612903,0.0,0.047619047619047616,0.0,0.13267813267813267,0.14258555133079848,0.0,0.0
RAD21,0.5,0.327217125382263,0.2048823016564952,0.0,0.5,0.041666666666666664,0.4250614250614251,0.6463878326996197,0.3333333333333333,0.0
XRRA1,0.16666666666666666,0.09174311926605505,0.03225806451612903,0.0,0.07142857142857142,0.041666666666666664,0.13636363636363635,0.08935361216730038,0.3333333333333333,0.0
GNGT2,0.0,0.0,0.02964254577157803,0.0,0.023809523809523808,0.0,0.03562653562653563,0.13878326996197718,0.3333333333333333,0.0
AL162258.2,0.0,0.04892966360856269,0.0052310374891020054,0.0,0.023809523809523808,0.0,0.011056511056511056,0.022813688212927757,0.0,0.0
CASP7,0.3333333333333333,0.37003058103975534,0.1918047079337402,0.0,0.14285714285714285,0.16666666666666666,0.20515970515970516,0.21673003802281368,0.3333333333333333,0.0
NUFIP1,0.0,0.03669724770642202,0.036617262423714034,0.0,0.0,0.0,0.07493857493857493,0.04752851711026616,0.0,0.0
LINC00957,0.0,0.0061162079510703364,0.0017436791630340018,0.0,0.0,0.0,0.0085995085995086,0.034220532319391636,0.0,0.0
NSMAF,0.3333333333333333,0.12844036697247707,0.18308631211857018,0.0,0.023809523809523808,0.125,0.06142506142506143,0.16920152091254753,0.0,0.0
YRDC,0.0,0.11009174311926606,0.11159546643417612,0.0,0.07142857142857142,0.0,0.10687960687960688,0.08935361216730038,0.0,0.0
PRR13,1.0,0.6238532110091743,0.6399302528334786,0.5,0.4523809523809524,0.5,0.457002457002457,0.6825095057034221,0.8333333333333334,0.0
PGAM1,0.6666666666666666,0.4892966360856269,0.46120313862249346,0.25,0.42857142857142855,0.25,0.6461916461916462,0.7129277566539924,0.6666666666666666,0.0
TAF5,0.0,0.009174311926605505,0.011333914559721011,0.0,0.047619047619047616,0.0,0.08108108108108109,0.0817490494296578,0.0,0.0
EXTL2,0.0,0.03058103975535168,0.006102877070619006,0.0,0.0,0.0,0.019656019656019656,0.019011406844106463,0.16666666666666666,0.0
QRSL1,0.3333333333333333,0.07951070336391437,0.026155187445510025,0.0,0.047619047619047616,0.0,0.11179361179361179,0.12167300380228137,0.3333333333333333,0.0
FAM172A,0.0,0.1437308868501529,0.036617262423714034,0.0,0.11904761904761904,0.08333333333333333,0.042997542997543,0.11787072243346007,0.3333333333333333,0.0
DNAJC25,0.0,0.09480122324159021,0.04010462074978204,0.0,0.023809523809523808,0.0,0.13513513513513514,0.043726235741444866,0.0,0.0
HCST,0.6666666666666666,0.12232415902140673,0.7306015693112468,0.25,0.7380952380952381,0.5416666666666666,0.4176904176904177,0.8574144486692015,0.6666666666666666,1.0
CLEC4E,0.0,0.0,0.07149084568439407,0.0,0.0,0.08333333333333333,0.0,0.0019011406844106464,0.0,0.0
PSTK,0.0,0.01834862385321101,0.0034873583260680036,0.0,0.0,0.0,0.019656019656019656,0.026615969581749048,0.0,0.0
PSMA4,0.6666666666666666,0.5107033639143731,0.5745422842197035,0.75,0.23809523809523808,0.4166666666666667,0.542997542997543,0.6653992395437263,1.0,1.0
RIC1,0.16666666666666666,0.09785932721712538,0.07759372275501308,0.25,0.047619047619047616,0.08333333333333333,0.18796068796068796,0.16159695817490494,0.0,0.0
ZBTB9,0.0,0.0061162079510703364,0.0034873583260680036,0.0,0.0,0.0,0.011056511056511056,0.005703422053231939,0.0,0.0
ATP5PD,0.5,0.5565749235474006,0.5414123801220575,0.25,0.3333333333333333,0.375,0.5687960687960688,0.6482889733840305,0.5,0.0
TLE4,0.3333333333333333,0.2874617737003058,0.15344376634699217,0.0,0.16666666666666666,0.08333333333333333,0.14373464373464373,0.1444866920152091,0.3333333333333333,0.0
TBC1D13,0.16666666666666666,0.0581039755351682,0.03312990409764603,0.0,0.047619047619047616,0.041666666666666664,0.042997542997543,0.04182509505703422,0.16666666666666666,0.0
TIMM8B,0.16666666666666666,0.5107033639143731,0.4952048823016565,0.0,0.23809523809523808,0.3333333333333333,0.5171990171990172,0.4866920152091255,0.3333333333333333,0.0
THUMPD3,0.0,0.14067278287461774,0.0950305143853531,0.25,0.047619047619047616,0.0,0.23587223587223588,0.21102661596958175,0.16666666666666666,0.0
DDX60L,0.3333333333333333,0.3333333333333333,0.5858761987794245,0.0,0.21428571428571427,0.625,0.042997542997543,0.24714828897338403,0.5,0.0
LY6G5C,0.0,0.045871559633027525,0.012205754141238012,0.0,0.047619047619047616,0.0,0.013513513513513514,0.04752851711026616,0.0,0.0
HERC3,0.0,0.03669724770642202,0.026155187445510025,0.25,0.0,0.041666666666666664,0.028255528255528257,0.049429657794676805,0.0,0.0
TSTA3,0.16666666666666666,0.3058103975535168,0.11944202266782912,0.0,0.19047619047619047,0.0,0.2616707616707617,0.31749049429657794,0.16666666666666666,0.0
TMEM38B,0.16666666666666666,0.04892966360856269,0.17611159546643418,0.0,0.023809523809523808,0.125,0.14127764127764128,0.049429657794676805,0.3333333333333333,0.0
LPGAT1,0.3333333333333333,0.2324159021406728,0.13339145597210114,0.0,0.07142857142857142,0.0,0.06388206388206388,0.1958174904942966,0.16666666666666666,0.0
DDX10,0.5,0.039755351681957186,0.037489102005231034,0.0,0.0,0.08333333333333333,0.07371007371007371,0.10646387832699619,0.0,0.0
RAD18,0.0,0.024464831804281346,0.006102877070619006,0.0,0.0,0.0,0.07985257985257985,0.10076045627376426,0.0,1.0
TSTD3,0.16666666666666666,0.039755351681957186,0.007846556233653008,0.0,0.047619047619047616,0.0,0.029484029484029485,0.045627376425855515,0.16666666666666666,0.0
ARF3,0.16666666666666666,0.2996941896024465,0.22231909328683522,0.0,0.07142857142857142,0.08333333333333333,0.23955773955773957,0.2737642585551331,0.6666666666666666,0.0
OSCAR,0.0,0.0061162079510703364,0.22057541412380122,0.0,0.0,0.041666666666666664,0.006142506142506142,0.0038022813688212928,0.16666666666666666,0.0
TMEM168,0.16666666666666666,0.09480122324159021,0.04010462074978204,0.25,0.047619047619047616,0.0,0.04668304668304668,0.08935361216730038,0.16666666666666666,0.0
C11ORF68,0.0,0.1559633027522936,0.05405405405405406,0.0,0.047619047619047616,0.0,0.051597051597051594,0.09125475285171103,0.0,0.0
TRIM38,0.3333333333333333,0.2966360856269113,0.23452484742807322,0.0,0.2619047619047619,0.125,0.12653562653562653,0.24334600760456274,0.3333333333333333,0.0
KIAA1551,1.0,0.3730886850152905,0.47515257192676547,0.0,0.30952380952380953,0.4166666666666667,0.25061425061425063,0.6121673003802282,0.3333333333333333,0.0
RNF135,0.0,0.07339449541284404,0.1918047079337402,0.0,0.023809523809523808,0.20833333333333334,0.025798525798525797,0.07604562737642585,0.16666666666666666,0.0
TMEM205,0.16666666666666666,0.3669724770642202,0.14385353095030515,0.0,0.047619047619047616,0.0,0.32555282555282555,0.17490494296577946,0.0,0.0
MRPS9,0.0,0.08256880733944955,0.045335658238884045,0.0,0.07142857142857142,0.0,0.1977886977886978,0.1806083650190114,0.16666666666666666,0.0
YIPF3,0.3333333333333333,0.37003058103975534,0.2013949433304272,0.25,0.11904761904761904,0.041666666666666664,0.35135135135135137,0.33079847908745247,0.3333333333333333,0.0
ZKSCAN1,0.16666666666666666,0.3394495412844037,0.07236268526591107,0.25,0.14285714285714285,0.125,0.1511056511056511,0.19391634980988592,0.0,0.0
CBX5,0.5,0.1620795107033639,0.041848299912816043,0.0,0.14285714285714285,0.0,0.36240786240786244,0.41825095057034223,0.16666666666666666,1.0
OSBPL7,0.0,0.04281345565749235,0.004359197907585004,0.0,0.09523809523809523,0.0,0.036855036855036855,0.10836501901140684,0.0,0.0
SNHG9,0.0,0.1437308868501529,0.05754141238012206,0.0,0.047619047619047616,0.16666666666666666,0.16953316953316952,0.11787072243346007,0.0,0.0
MTMR14,0.16666666666666666,0.1651376146788991,0.2109851787271142,0.25,0.11904761904761904,0.0,0.15724815724815724,0.21863117870722434,0.5,0.0
PHKG2,0.0,0.2324159021406728,0.05231037489102005,0.0,0.14285714285714285,0.041666666666666664,0.16339066339066338,0.1844106463878327,0.0,0.0
HSD17B12,0.3333333333333333,0.3119266055045872,0.14123801220575413,0.0,0.09523809523809523,0.0,0.25184275184275184,0.1482889733840304,0.5,0.0
STK11IP,0.0,0.0581039755351682,0.04097646033129904,0.0,0.023809523809523808,0.0,0.033169533169533166,0.058935361216730035,0.16666666666666666,0.0
TAF5L,0.0,0.07339449541284404,0.02964254577157803,0.0,0.09523809523809523,0.041666666666666664,0.033169533169533166,0.060836501901140684,0.0,0.0
PROSER1,0.16666666666666666,0.08868501529051988,0.046207497820401046,0.0,0.0,0.0,0.13267813267813267,0.188212927756654,0.0,0.0
RNASEH2B,0.3333333333333333,0.15902140672782875,0.11508282476024412,0.0,0.3333333333333333,0.08333333333333333,0.3464373464373464,0.5,0.3333333333333333,0.0
COG7,0.0,0.1437308868501529,0.044463818657367045,0.0,0.023809523809523808,0.041666666666666664,0.060196560196560195,0.10076045627376426,0.0,0.0
MIR762HG,0.16666666666666666,0.03669724770642202,0.010462074978204011,0.25,0.023809523809523808,0.0,0.044226044226044224,0.06844106463878327,0.0,0.0
GLS,0.16666666666666666,0.16819571865443425,0.2955536181342633,0.5,0.16666666666666666,0.2916666666666667,0.3488943488943489,0.3231939163498099,0.3333333333333333,0.0
THRA,0.0,0.03363914373088685,0.05841325196163906,0.0,0.047619047619047616,0.041666666666666664,0.013513513513513514,0.026615969581749048,0.0,0.0
SIAE,0.16666666666666666,0.021406727828746176,0.015693112467306015,0.0,0.0,0.041666666666666664,0.036855036855036855,0.015209125475285171,0.0,0.0
GRHL1,0.0,0.28440366972477066,0.004359197907585004,0.0,0.0,0.0,0.0036855036855036856,0.0076045627376425855,0.0,0.0
DYSF,0.0,0.0030581039755351682,0.0993897122929381,0.0,0.0,0.125,0.007371007371007371,0.0019011406844106464,0.0,0.0
MS4A14,0.16666666666666666,0.0,0.045335658238884045,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0
HOXB2,0.0,0.03058103975535168,0.1028770706190061,0.5,0.3333333333333333,0.041666666666666664,0.02457002457002457,0.20722433460076045,0.5,0.0
MACROD1,0.0,0.045871559633027525,0.006102877070619006,0.0,0.047619047619047616,0.0,0.044226044226044224,0.03802281368821293,0.0,0.0
TRGC2,0.0,0.009174311926605505,0.006102877070619006,0.0,0.09523809523809523,0.0,0.0012285012285012285,0.13307984790874525,0.0,0.0
